Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB, 
,,,O70566,,,,,,,,Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2) (mDia3),Diaph2 Diap2,1098,Mus musculus (Mouse),157-401(DID domain);1016-1070(DAD domain),"16292343, 20927343","Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. The autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. Autoinhibition is relieved by GTP-bound Rho proteins, which bind to the DID and an adjacent GTPase binding (G) element, and consequently displace the DAD. The DAD domain was identified by sequence similarity with mDia1 (O08808).",Annotated by sequence similarity,,,
,,,Q9Z207,,,,,,,,Protein diaphanous homolog 3 (Diaphanous-related formin-3) (DRF3) (p134mDIA2) (mDIA2),Diaph3 Diap3,1171,Mus musculus (Mouse),160-361(DID domain);1020-1061(DAD domain),"16292343, 20927343, 20660154","Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. The autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. Autoinhibition is relieved by GTP-bound Rho proteins, which bind to the DID and an adjacent GTPase binding (G) element, and consequently displace the DAD. The DAD domain was identified by sequence similarity with mDia1 (O08808).",Annotated by sequence similarity,,,
,,,"Q96QB1-1,Q96QB1",,,,,,,,Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein) (DLC-1) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12),DLC1 ARHGAP7 KIAA1723 STARD12,1528,Homo sapiens (Human),171-414(DID domain);1025-1082(DAD domain),"16292343, 20927343","Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. The autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. Autoinhibition is relieved by GTP-bound Rho proteins, which bind to the DID and an adjacent GTPase binding (G) element, and consequently displace the DAD. The DAD domain was identified by sequence similarity with mDia1 (O08808).",Annotated by sequence similarity,,,
,,,A7E300,,,,,,,,Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein homolog) (DLC-1) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12),DLC1 ARHGAP7 STARD12,1112,Bos taurus (Bovine),448-515(SAM domain),18786931,"DLC1 encodes a Rho GTPase-activating protein (RhoGAP) and negative regulator of specific Rho family proteins (RhoA-C and Cdc42). DLC1 is a multi-domain protein, with the RhoGAP catalytic domain flanked by an amino-terminal sterile motif (SAM) and a carboxyl-terminal START domain. In a study with DLC1 isoform 1 (Q96QB1-1), truncation of SAM domain activates RhoGAP catalytic domain. Thus, corresponding site may function as an autoinhibitory region.",Annotated by sequence similarity,,,
,,,B9VTT2,,,,,,,,Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein homolog) (DLC-1) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12),DLC1 ARHGAP7 STARD12,1091,Canis lupus familiaris (Dog) (Canis familiaris),11-78(SAM domain),18786931,"DLC1 encodes a Rho GTPase-activating protein (RhoGAP) and negative regulator of specific Rho family proteins (RhoA-C and Cdc42). DLC1 is a multi-domain protein, with the RhoGAP catalytic domain flanked by an amino-terminal sterile motif (SAM) and a carboxyl-terminal START domain. In a study with human DLC1 isoform 1 (Q96QB1-1), truncation of SAM domain activates RhoGAP catalytic domain.",Annotated by sequence similarity,,,
,,,Q9R0Z9,,,,,,,,Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein homolog) (DLC-1) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12),Dlc1 Arhgap7 Stard12,1092,Mus musculus (Mouse),37-104(SAM domain),18786931,"DLC1 encodes a Rho GTPase-activating protein (RhoGAP) and negative regulator of specific Rho family proteins (RhoA-C and Cdc42). DLC1 is a multi-domain protein, with the RhoGAP catalytic domain flanked by an amino-terminal sterile motif (SAM) and a carboxyl-terminal START domain. In a study with human DLC1 isoform 1 (Q96QB1-1), truncation of SAM domain activates RhoGAP catalytic domain.",Annotated by sequence similarity,,,
,,,P31007,,,,,,,,Disks large 1 tumor suppressor protein,dlg1 l(1)dlg1 CG1725,970,Drosophila melanogaster (Fruit fly),11-78(SAM domain),18786931,"DLC1 encodes a Rho GTPase-activating protein (RhoGAP) and negative regulator of specific Rho family proteins (RhoA-C and Cdc42). DLC1 is a multi-domain protein, with the RhoGAP catalytic domain flanked by an amino-terminal sterile motif (SAM) and a carboxyl-terminal START domain. In a study with human DLC1 isoform 1 (Q96QB1-1), truncation of SAM domain activates RhoGAP catalytic domain.",Annotated by sequence similarity,,,
,,,Q63622,,,,,,,,Disks large homolog 2 (Channel-associated protein of synapse-110) (Chapsyn-110) (Postsynaptic density protein PSD-93),Dlg2 Dlgh2,852,Rattus norvegicus (Rat),11-78(SAM domain),18786931,"DLC1 encodes a Rho GTPase-activating protein (RhoGAP) and negative regulator of specific Rho family proteins (RhoA-C and Cdc42). DLC1 is a multi-domain protein, with the RhoGAP catalytic domain flanked by an amino-terminal sterile motif (SAM) and a carboxyl-terminal START domain. In a study with human DLC1 isoform 1 (Q96QB1-1), truncation of SAM domain activates RhoGAP catalytic domain.",Annotated by sequence similarity,,,
,,,Q9Z330,,,,,,,,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (DNA MTase RnoIP) (M.RnoIP) (DNA methyltransferase I) (MCMT),Dnmt1,1622,Rattus norvegicus (Rat),313-393(PDZ 3 domain);486-566(SH3 domain),"10364172, 16982606","Dlg4 is a member of the membrane-associated guanylate kinase (MAGUK) family of PDZ domain-containing proteins and regulates surface expression of NMDA receptors. SH3 domain also interacts with GK domain for regulation. In Drosophila Dlg1 (P31007), PDZ 3 domain is also involved in the autoinhibition of the GK domain.",Annotated by sequence similarity,,,
,,,P13864,,,,,,,,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (Met-1) (EC 2.1.1.37) (DNA methyltransferase MmuI) (DNA MTase MmuI) (M.MmuI) (MCMT),Dnmt1 Dnmt Met1 Uim,1620,Mus musculus (Mouse),700-734(CXXC-BAH1 linker),21163962,"The eukaryotic maintenance DNA methyltransferase DNMT1 is multimodular protein composed of a replication foci-targeting domain (RFD), a DBA-binding CXXC domain, a pair of bromo-adjacent homology (BAH) domains, and a C-terminal catalytic domain, and mediates maintenance of genomic methylation patterns. In a study with mouse DNMT1 (P13864), the CXXC may specifically bind to unmethylated CpG dinucleotide and position the CXXC-BAH1 linker between the DNA and the active site of DNMT1, preventing de novo methylation. Therefore, unmethylated CpG dinucleotides are occluded from the active site to ensure that only hemimethylated CpG dinucleotides undergo methylation. The autoinhibitory region of DNMT1 was annotated by sequence similarity with mouse Dnmt1.",Annotated by sequence similarity,,,
,,,Q9FJJ5,,,,,,,,Microtubule-associated protein RP/EB family member 1B (APC-binding protein EB1B) (End-binding protein 1) (AtEB1) (End-binding protein 1B) (AtEB1B) (Protein ATEB1 homolog 2) (ATEB1H2),EB1B At5g62500 K19B1.11,293,Arabidopsis thaliana (Mouse-ear cress),172-399(S helix and GGDEF domain),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,
,,,Q5P6G6,,,,,,,,Uncharacterized protein,ebA1787,648,Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1)),258-276(C-terminal tail),20067996 ,"End-binding 1 (EB1) proteins are plus-end-tracking proteins that localize to growing microtubule (MT) plus ends. In Arabidopsis thaliana, EB1 proteins contain an N-terminal calponin homology (CH) domain and a composite C-terminal (CC) domain, which mediate MT binding and dimerization, respectively. In a study with EB1B (Q9FJJ5), the C-terminal tail of the EB1B subgroup is autoinhibitory in the MT assembly capacity of EB1, possibly by interacting with the N-terminal MT-binding CH domain. The autoinhibitory region of EB1A was annotated by sequence similarity.",Annotated by sequence similarity,,,
,,,Q6D232,,,,,,,,Putative signaling membrane protein,ECA3264,650,Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica),170-394(S helix and GGDEF domain),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,
,,,A0A0R4I961,,,,,,,,FimH protein,ECP_4655 fimh,279,Escherichia coli F18+,171-398(S helix and GGDEF domain),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,
,,,P55245,,,,,,,,Epidermal growth factor receptor (EC 2.7.10.1),EGFR,1210,Macaca mulatta (Rhesus macaque),166-309(Domain II);482-618(Domain IV),"16777603, 12620230","Annotation was made based on sequence similarity with EGFR {ECO:0000312|HGNC:HGNC:3236}(P00533, Homo sapiens). Epidermal growth factor receptor plays critical roles in regulating cell proliferation, differentiation, and migration. The extracellular region of each EGF receptor contains four subdomains (domains I, II, III, and IV). Self-association of EGFR is autoinhibited by intramolecular domain II (166-309)/IV(482-618) interactions that seqester the dimerization arm.",Annotated by sequence similarity,,,
,,,Q8CBF3,,,,,,,,Ephrin type-B receptor 1 (EC 2.7.10.1),Ephb1,984,Mus musculus (Mouse),593-619(Juxtamembrane domain),"15173825, 11572780","Annotation was made based on sequence similarity with EPHB2(P29323, Homo sapiens). Ephrin type-B receptor 2 is a membrane-associated protein that mediates axon guidance, cell migration and morphogenesis. The Eph receptor tyrosine kinase family is regulated by autophosphorylation within the juxtamembrane region and the kinase activation segment. The structure, supported by mutagenesis data, reveals that the juxtamembrane segment adopts a helical conformation that distorts the small lobe of the kinase domain, and blocks the activation segment from attaining an activated conformation. Phosphorylation of the conserved juxtamembrane tyrosines would relieve this autoinhibition by disturbing the association of the juxtamembrane segment with the kinase domain, while liberating phosphotyrosine sites for binding SH2 domains of target proteins.",Annotated by sequence similarity,,,
,,,P54762,,,,,,,,Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2),EPHB1 ELK EPHT2 HEK6 NET,984,Homo sapiens (Human),593-619(Juxtamembrane domain),"15173825, 11572780","Annotation was made based on sequence similarity with EPHB2(P29323, Homo sapiens). Ephrin type-B receptor 2 is a membrane-associated protein that mediates axon guidance, cell migration and morphogenesis. The Eph receptor tyrosine kinase family is regulated by autophosphorylation within the juxtamembrane region and the kinase activation segment. The structure, supported by mutagenesis data, reveals that the juxtamembrane segment adopts a helical conformation that distorts the small lobe of the kinase domain, and blocks the activation segment from attaining an activated conformation. Phosphorylation of the conserved juxtamembrane tyrosines would relieve this autoinhibition by disturbing the association of the juxtamembrane segment with the kinase domain, while liberating phosphotyrosine sites for binding SH2 domains of target proteins.",Annotated by sequence similarity,,,
,,,P09759,,,,,,,,Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (Tyrosine-protein kinase receptor EPH-2),Ephb1 Elk Epth2,984,Rattus norvegicus (Rat),593-619(Juxtamembrane domain),"15173825, 11572780","Annotation was made based on sequence similarity with EPHB2(P29323, Homo sapiens). Ephrin type-B receptor 2 is a membrane-associated protein that mediates axon guidance, cell migration and morphogenesis. The Eph receptor tyrosine kinase family is regulated by autophosphorylation within the juxtamembrane region and the kinase activation segment. The structure, supported by mutagenesis data, reveals that the juxtamembrane segment adopts a helical conformation that distorts the small lobe of the kinase domain, and blocks the activation segment from attaining an activated conformation. Phosphorylation of the conserved juxtamembrane tyrosines would relieve this autoinhibition by disturbing the association of the juxtamembrane segment with the kinase domain, while liberating phosphotyrosine sites for binding SH2 domains of target proteins.",Annotated by sequence similarity,,,
,,,P54763,,,,,,,,Ephrin type-B receptor 2 (EC 2.7.10.1) (Neural kinase) (Nuk receptor tyrosine kinase) (Tyrosine-protein kinase receptor EPH-3) (Tyrosine-protein kinase receptor SEK-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2],Ephb2 Epth3 Nuk Sek3,986,Mus musculus (Mouse),595-621(Juxtamembrane domain),"15173825, 11572780","Annotation was made based on sequence similarity with EPHB2(P29323, Homo sapiens). Ephrin type-B receptor 2 is a membrane-associated protein that mediates axon guidance, cell migration and morphogenesis. The Eph receptor tyrosine kinase family is regulated by autophosphorylation within the juxtamembrane region and the kinase activation segment. The structure, supported by mutagenesis data, reveals that the juxtamembrane segment adopts a helical conformation that distorts the small lobe of the kinase domain, and blocks the activation segment from attaining an activated conformation. Phosphorylation of the conserved juxtamembrane tyrosines would relieve this autoinhibition by disturbing the association of the juxtamembrane segment with the kinase domain, while liberating phosphotyrosine sites for binding SH2 domains of target proteins.",Annotated by sequence similarity,,,
,,,Q61527,,,,,,,,Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)],Erbb4 Mer4,1308,Mus musculus (Mouse),172-314(Domain II);488-625(Domain IV),16777603,"Erbb2 is a receptor tyrosine protein kinase playing critical roles in regulating cell proliferation, differentiation, and migration. The potential autoinhibitory regions were predicted by sequence similarity with human EGFR (P00533).",Annotated by sequence similarity,,,
,,,Q03468,,,,,,,,DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB),ERCC6 CSB,1493,Homo sapiens (Human),165-306(Domain II);479-615(Domain IV),16777603,"Erbb4 is a receptor tyrosine protein kinase playing critical roles in regulating cell proliferation, differentiation, and migration. The potential autoinhibitory regions were predicted by sequence similarity with human EGFR (P00533).",Annotated by sequence similarity,,,
,,,F8VPZ5,,,,,,,,DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB),Ercc6 Csb,1481,Mus musculus (Mouse),165-306(Domain II);479-615(Domain IV),16777603,"ERBB4 is a receptor tyrosine protein kinase playing critical roles in regulating cell proliferation, differentiation, and migration. The potential autoinhibitory regions were predicted by sequence similarity with human EGFR (P00533).",Annotated by sequence similarity,,,
,,,P81270,,,,,,,,Transcriptional regulator ERG,Erg Erg-3,486,Mus musculus (Mouse),279-296(NID);385-395(CID),23898196,"Annotation was made based on sequence similarity with ERG(P11308, Homo sapiens). The Ets-Related Gene (ERG) belongs to the Ets family of transcription factors and is critically important for maintenance of the hematopoietic stem cell population. In the presence of the NID(N-terminal inhibitory domain, 272-289) and CID (C-terminal inhibitory domain, 378-388), the conformational exchangeprocesses vanish, indicating that in the autoinhibited state.",Annotated by sequence similarity,,,
,,,P28322,,,,,,,,ETS translocation variant 4 (Polyomavirus enhancer activator 3) (Protein PEA3),Etv4 Pea-3 Pea3,485,Mus musculus (Mouse),1-42(N-terminal autoinhibitory region);85-99(A subregion between an acidic region and ETS domain);250-339(A subregion between an acidic region and ETS domain);422-485(C-terminal autoinhibitory region),"11096072, 20400516","Annotation was made based on sequence similarity with Etv4 {ECO:0000313|Ensembl:ENSMUSP00000102794(A2A5C2, Mus musculus ). Etv4 is a aranscriptional activator playing a role in keratinocyte differentiation. Truncation of the autoinhibitory regions increases the transcriptional and DNA binding activities of Etv4. The autoinhibition of Etv4 is mediated by elements outside of ETS domain, and exists in two conformations: a closed, inhibited form and an open, active form that is competent to bind to DNA.",Annotated by sequence similarity,,,
,,,P97360,,,,,,,,Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel),Etv6 Tel Tel1,485,Mus musculus (Mouse),732-750(C-terminal portion of Helix ?6 in DH domain);763-1033 (PH domains),23375260 ,"Farp1 is a guanine nucleotide exchange factor for RAC1. Farp1 contains a FERM domain, a Dbl-homology (DH) domain and two pleckstrin homology (PH) domains. In a structural study with mouse Farp2 (Q91VS8), the GEF substrate-binding site is blocked collectively by the last helix (Helix ?6) in the DH domain and the two PH domains. ",Annotated by sequence similarity,,,
,,,F1LYQ8,,,,,,,,"FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)",Farp1,1049,Rattus norvegicus (Rat),730-748(C-terminal portion of Helix ?6 in DH domain);761-1030 (PH domains),23375260 ,"FARP1 is a guanine nucleotide exchange factor for RAC1. FARP1 contains a FERM domain, a Dbl-homology (DH) domain and two pleckstrin homology (PH) domains. In a structural study with mouse Farp2 (Q91VS8), the GEF substrate-binding site is blocked collectively by the last helix (Helix ?6) in the DH domain and the two PH domains. ",Annotated by sequence similarity,,,
,,,F1P065,,,,,,,,"FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)",FARP1,1046,Gallus gallus (Chicken),731-749(C-terminal portion of Helix ?6 in DH domain);762-1032 (PH domains),23375260 ,"Farp1 is a guanine nucleotide exchange factor for RAC1. Farp1 contains a FERM domain, a Dbl-homology (DH) domain and two pleckstrin homology (PH) domains. In a structural study with mouse Farp2 (Q91VS8), the GEF substrate-binding site is blocked collectively by the last helix (Helix ?6) in the DH domain and the two PH domains. ",Annotated by sequence similarity,,,
,,,F8VPU2,,,,,,,,"FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)",Farp1,1048,Mus musculus (Mouse),728-746(C-terminal portion of Helix ?6 in DH domain);759-1029 (PH domains),23375260 ,"FARP1 is a guanine nucleotide exchange factor for RAC1. FARP1 contains a FERM domain, a Dbl-homology (DH) domain and two pleckstrin homology (PH) domains. In a structural study with mouse Farp2 (Q91VS8), the GEF substrate-binding site is blocked collectively by the last helix (Helix ?6) in the DH domain and the two PH domains. ",Annotated by sequence similarity,,,
,,,Q5RAB8,,,,,,,,"FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)",FARP1,1045,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),728-746(C-terminal portion of Helix ?6 in DH domain);759-1029 (PH domains),23375260 ,"FARP1 is a guanine nucleotide exchange factor for RAC1. FARP1 contains a FERM domain, a Dbl-homology (DH) domain and two pleckstrin homology (PH) domains. In a structural study with mouse Farp2 (Q91VS8), the GEF substrate-binding site is blocked collectively by the last helix (Helix ?6) in the DH domain and the two PH domains. ",Annotated by sequence similarity,,,
,,,Q91VS8,,,,,,,,"FERM, ARHGEF and pleckstrin domain-containing protein 2 (FERM domain including RhoGEF) (FIR) (FERM, RhoGEF and pleckstrin domain-containing protein 2)",Farp2 Kiaa0793,1065,Mus musculus (Mouse),724-742(C-terminal portion of Helix ?6 in DH domain);755-1026 (PH domains),23375260 ,"FARP2 is a Dbl-family quinine nucleotide exchange factor (GEF) that contains a 4.1, ezrin, radixin and moesin (FERM) domain, a Dbl-homology (DH) domain and two pleckstrin homology (PH) domains. FARP2 activates Rac1 or Cdc42 in response to upstream signals, thereby regulating neuronal axon guidance and bone homeostasis. In a structural study with mouse Farp2 (Q91VS8), the GEF substrate-binding site is blocked collectively by the last helix (Helix ?6) in the DH domain and the two PH domains. ",Annotated by sequence similarity,,,
,,,P22607,,,,,,,,Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333),FGFR3 JTK4,806,Homo sapiens (Human),22-118(D1 domain);120-145(AB/linker region),"18056630, 22244757","Fibroblast growth factor receptor 4 (FGFR4) is one of the members of FGFR family belonging to the receptor tyrosine kinases (RTK) in cell proliferation, differentiation, migration, and maintenance of cellular homeostasis. FGFR4 consists of the ligand-binding region (immunoglobulin (Ig) domain 1-like domains) designated D1, D2, and D3, and a kinase domain. In a study with human FGFR1 (P11362) and FGFR3 (P22607), the D1 domain and the acid box (AB)-containing linker between D1 and D2 are involved in autoinhibition. Loss of D1 or the linker enhances the affinity of FGFR for FGF and HS and increases the signaling capacity of FGFR. Specifically, the AB region blocks the heparan sulfate (HS)-binding site on the D2 domain in cis to suppress HS-binding affinity of EGFR. D1 is dispensible for autoinhibition but plays a minor role in autoinhibition.",Annotated by sequence similarity,,,
,,,Q6P9Q4,,,,,,,,FH1/FH2 domain-containing protein 1 (Formin homolog overexpressed in spleen 1) (FHOS) (Formin homology 2 domain-containing protein 1),Fhod1 Fhos1,1197,Mus musculus (Mouse),102-326(DID domain);1359-1391(DAD domain),18239683,"Formin-family proteins, in the active state, form actinbased structures such as stress fibres. Formin homology domain protein 3 (FHOD3) is a major endothelial formin. In a study with human FHOD1 (Q9Y613), FHOD1 was normally autoinhibited by intramolecular interaction between the N-terminal domain and C-terminal DAD domain. Since other formin proteins contain a DID domain at N-terminus, FHOD3 may also contain a DID domain and this DID domain may interact with the DAD domain. The autoinhibitory region of FHOD3 was annotated by sequence similarity.",Annotated by sequence similarity,,,
,,,Q3B7U9,,,,,,,,Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (FK506-binding protein 8) (FKBP-8) (Rotamase),Fkbp8,403,Rattus norvegicus (Rat),1-32(N-terminal tail),24145868,"Annotation was made based on sequence similarity with FKBP8(Q14318, Homo sapiens). FK506 binding protein 38 (FKBP38) is a multi-domain protein containing PPlase domain followed by TPR, CaM-binding domain and transmembrane domain. FKBP38 regulates apoptosis through unique interactions with multiple regulators including Bcl-2. the N-terminal extension (residues 1-32) preceding the catalytic domain of FKBP38 has an autoinhibitory activity. The core isomerase activity of FKBP38 is inhibited by transient interactions involving the flexible N-terminal extension that precedes the catalytic domain.",Annotated by sequence similarity,,,
,,,Q14318,,,,,,,,Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase),FKBP8 FKBP38,412,Homo sapiens (Human),2233-2325(IgFLNa20 domain),17690686,"Filamins are actin-crosslinking proteins including an N terminal actin-binding domain and 24 Ig-like domain (IgFLNs). In a study with human FLNB (O75369), the N-terminus of IgFLNa20 forms a ?-strand that associates with the integrin binding surface of IgFLNa21 and occupies the binding site for integrin adhesion receptors. Disruption of this IgFLNa20-IgFLNa21 interaction enhances filamin binding to integrin ?-tails. The autoinhibitory region of FLNA was annotated by sequence similarity.",Annotated by sequence similarity,,,
,,,Q8BTM8,,,,,,,,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),Flna Fln Fln1,2647,Mus musculus (Mouse),2132-2230(IgFLNa20 domain),17690686,"Filamins are actin-crosslinking proteins including an N terminal actin-binding domain and 24 Ig-like domain (IgFLNs). In a study with human FLNB (O75369), the N-terminus of IgFLNa20 forms a ?-strand that associates with the integrin binding surface of IgFLNa21 and occupies the binding site for integrin adhesion receptors. Disruption of this IgFLNa20-IgFLNa21 interaction enhances filamin binding to integrin ?-tails. The autoinhibitory region of FLNA was annotated by sequence similarity.",Annotated by sequence similarity,,,
,,,Q9JL26,,,,,,,,Formin-like protein 1 (Formin-related protein),Fmnl1 Frl Frl1,1094,Mus musculus (Mouse),1040-1079(DAD domain),,Annotation identified by sequence similarity was extracted from UniProt. The DAD domain may regulate activation via by an autoinhibitory interaction with the N-terminus. This autoinhibition may be released upon competitive binding of an activated GTPase. The release of DAD may allow the FH2 domain to nucleate and elongate nonbranched actin filaments.,Annotated by sequence similarity,,,
,,,A2APV2,,,,,,,,Formin-like protein 2 (Protein Man),Fmnl2 Kiaa1902 Man,1086,Mus musculus (Mouse),986-1018(DAD domain),,Annotation identified by sequence similarity was extracted from UniProt. The DAD domain may regulate activation via by an autoinhibitory interaction with the N-terminus. This autoinhibition may be released upon competitive binding of an activated GTPase. The release of DAD may allow the FH2 domain to nucleate and elongate nonbranched actin filaments.,Annotated by sequence similarity,,,
,,,O94532,,,,,,,,Formin-3,for3 SPCC895.05,1461,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),320-369 (DID domain);1174-1209 (DAD domain),17699595,"Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. In a study with Formin-3 (O94532), the autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. This interaction is disrupted by Rho GTPase that is able to bind to the DID domain.",Annotated by sequence similarity,,,
,,,Q54WH2,,,,,,,,Formin-A,forA DDB_G0279607,1218,Dictyostelium discoideum (Slime mold),276-317 (DID domain);1071-1100 (DAD domain),17699595,"Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. In a study with Formin-3 (O94532), the autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. This interaction is disrupted by Rho GTPase that is able to bind to the DID domain.",Annotated by sequence similarity,,,
,,,Q54SP2,,,,,,,,Formin-B,forB DDB_G0282297,1126,Dictyostelium discoideum (Slime mold),245-296 (DID domain);1065-1095 (DAD domain),17699595,"Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. In a study with Formin-3 (O94532), the autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. This interaction is disrupted by Rho GTPase that is able to bind to the DID domain.",Annotated by sequence similarity,,,
,,,Q54KF1,,,,,,,,Formin-C,forC DDB_G0287295,1158,Dictyostelium discoideum (Slime mold),276-329 (DID domain);1037-1073 (DAD domain),17699595,"Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. In a study with Formin-3 (O94532), the autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. This interaction is disrupted by Rho GTPase that is able to bind to the DID domain.",Annotated by sequence similarity,,,
