Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
E3 ubiquitin-protein ligase arih1 (EC 2.3.2.31) (Protein ariadne-1 homolog) (ARI-1) (RING-type E3 ubiquitin transferase arih1),arih1,529,B1H1E4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),380-529(Ariadne domain),23707686,"E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1. The mechanism of autoinhibition is annotated by similarity with the human homolog of Ariadne (Q9Y4X5). ",Annotated by sequence similarity,,
E3 ubiquitin-protein ligase arih1 (EC 2.3.2.31) (Protein ariadne-1 homolog) (ARI-1) (RING-type E3 ubiquitin transferase arih1),arih1,529,Q32NS4,Xenopus laevis (African clawed frog),380-529(Ariadne domain),23707686,"E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1. The mechanism of autoinhibition is annotated by similarity with the human homolog of Ariadne (Q9Y4X5).",Annotated by sequence similarity,,
E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (Protein ariadne-1 homolog) (ARI-1) (RING-type E3 ubiquitin transferase ARIH1) (UbcH7-binding protein) (UbcM4-interacting protein 77) (Ubiquitin-conjugating enzyme E2-binding protein 1),Arih1 Ari Ubch7bp Uip77,555,Q9Z1K5,Mus musculus (Mouse),406-555(Ariadne domain),23707686,"E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1. The mechanism of autoinhibition is annotated by similarity with the human homolog of Ariadne (Q9Y4X5).",Annotated by sequence similarity,,
E3 ubiquitin-protein ligase arih1 (EC 2.3.2.31) (Protein ariadne-1 homolog) (ARI-1) (RING-type E3 ubiquitin transferase arih1),arih1 si:dkey-151p17.4 si:dkey-73n10.2,527,Q6PFJ9,Danio rerio (Zebrafish) (Brachydanio rerio),378-527(Ariadne domain),23707686,"E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1. The mechanism of autoinhibition is annotated by similarity with the human homolog of Ariadne (Q9Y4X5).",Annotated by sequence similarity,,
E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (RING-type E3 ubiquitin transferase ARIH2) (Triad1 protein) (UbcM4-interacting protein 48),Arih2 Ari2 Triad1 Uip48,492,Q9Z1K6,Mus musculus (Mouse),358-492(Ariadne domain),23707686,"E3 ubiquitin-protein ligase ARIH1 is an E3 ubiquitin-protein ligase, which catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3, and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-RING ubiquitin ligase (CRL) complexes and initiating ubiquitination of CRL substrates. ARIH1 and ARIH2 are autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. The inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity of ARIH1 or ARIH2. The autoinhibitory region was annotated by sequence similarity with human homologs (O95376, Q9Y4X5).",Annotated by sequence similarity,,
Putative exported protein,BB1184,658,A0A0H3LK99,Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus),171-409(HAMP and GGDEF domain),21304926,BB1184 is a putative exported protein. Its autoinhibitory region was annotated by sequence similarity with LapD (Q3KK31).,Annotated by sequence similarity,,
Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (Inhibitor of apoptosis protein 2) (mIAP2) (RING-type E3 ubiquitin transferase BIRC2),Birc2,612,Q62210,Mus musculus (Mouse),248-331(BIR3 domain);429-556(CARD domain),21549626,"E3 ligases mediate the covalent attachment of ubiquitin to target proteins thereby enabling ubiquitin dependent signaling. Baculoviral IAP repeat-containing protein 2 (Birc2) protein is an E3 ligase that modulates diverse biological processes such as cell survival, proliferation, and migration. In human BIRC2 (Q13490), full-length BIRC2 fails to associate with E2, but CARD-deleted mutant BIRC2 readily interacts with E2. In addition, inclusion of BIR3 domain alone can restore autoinhibition, representing that BIR3 domain is also necessary to prevent E2 binding. The similar region in Birc2 with the autoinhibitory region of human Birc2 was annotated as an autoinhibitory region.",Annotated by sequence similarity,,
Formin BNI1,BNI1 CAALFM_C112960CA CaO19.12393 CaO19.4927,1732,Q5AL52,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),1563-1595(DAD domain),,Annotation identified by sequence similarity was extracted from UniProt. The DAD domain regulates activation via by an autoinhibitory interaction with the GBD/FH3 domain. This autoinhibition is released upon competitive binding of an activated GTPase. The release of DAD allows the FH2 domain to then nucleate and elongate nonbranched actin filaments.,Annotated by sequence similarity,,
Protein BNI1 (Pointed projection formation protein 3) (Sensitive to high expression protein 5) (Synthetic lethal 39),BNI1 PPF3 SHE5 YNL271C N0646,1953,P41832,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1792-1826(DAD domain),,Annotation identified by sequence similarity was extracted from UniProt. The DAD domain regulates activation via by an autoinhibitory interaction with the GBD/FH3 domain. This autoinhibition is released upon competitive binding of an activated GTPase. The release of DAD allows the FH2 domain to then nucleate and elongate nonbranched actin filaments. ,Annotated by sequence similarity,,
BNI1-related protein 1,BNR1 YIL159W,1375,P40450,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1302-1336(DAD domain),,Annotation identified by sequence similarity was extracted from UniProt. The DAD domain regulates activation via by an autoinhibitory interaction with the GBD/FH3 domain. This autoinhibition is released upon competitive binding of an activated GTPase. The release of DAD allows the FH2 domain to then nucleate and elongate nonbranched actin filaments.,Annotated by sequence similarity,,
Probable pectinesterase/pectinesterase inhibitor [Includes: Pectinesterase inhibitor (Pectin methylesterase inhibitor); Pectinesterase (PE) (EC 3.1.1.11) (Pectin methylesterase)],BP19,584,P41510,Brassica napus (Rape),44-191(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,
Putative exported protein,BPP0972,658,Q7W0T9,Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),171-409(HAMP and GGDEF domain),21304926,BPP0972 is a putative exported protein. Its autoinhibitory region was annotated by sequence similarity with LapD (Q3KK31).,Annotated by sequence similarity,,
Diguanylate cyclase/phosphodiesterase,Bpro_0308,637,Q12GR9,Polaromonas sp. (strain JS666 / ATCC BAA-500),170-395(HAMP and GGDEF domain),21304926,Bpro_0308 is a diguanylate cyclase/phosphodiesterase. Its autoinhibitory region was annotated by sequence similarity with LapD (Q3KK31).,Annotated by sequence similarity,,
Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha),Camk1,374,Q91YS8,Mus musculus (Mouse),285-316(Autoinhibitory region),8601311,"Annotation was made based on sequence similarity with Camk1(Q63450, Rattus norvegicus). Camk1 is a calcium/calmodulin-dependent protein kinase involved in calcium-triggered CaMKK-Camk1 signaling cascade. The C-terminal autoinhibitory region interacts with the catalytic core of the enzyme.",Annotated by sequence similarity,,
Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK),CAMK1D CAMKID,385,Q8IU85,Homo sapiens (Human),279-319(Autoinhibitory domain),14984199,"Calcium/calmodulin-dependent protein kinase type 1 (CAMK1)  regulates transcription activators activity, cell cycle, hormone production, cell differentiation, actin filament organization and neurite outgrowth. In human CAMK1 (Q14012), the autoinhibitory region contains two helical structures (?R1 and ?R2) and includes a pseudosubstrate sequence within it. The ?R2 helix is at the N-terminal of CaM-binding domain. The ?R1 interacts with the catalytic core and ?R2 interacts with the ATP-binding region of CAMK1 for autoinhibition. The autoinhibitory region in CAMK1D was annotated by sequence similarity.",Annotated by sequence similarity,,
Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III),CAMK1G CLICK3 VWS1,476,Q96NX5,Homo sapiens (Human),277-317(Autoinhibitory domain),14984199,"Calcium/calmodulin-dependent protein kinase type 1 (CAMK1)  regulates transcription activators activity, cell cycle, hormone production, cell differentiation, actin filament organization and neurite outgrowth. In human CAMK1 (Q14012), the autoinhibitory region contains two helical structures (?R1 and ?R2) and includes a pseudosubstrate sequence within it. The ?R2 helix is at the N-terminal of CaM-binding domain. The ?R1 interacts with the catalytic core and ?R2 interacts with the ATP-binding region of CAMK1 for autoinhibition. The autoinhibitory region in CAMK1G was annotated by sequence similarity.",Annotated by sequence similarity,,
Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17),Camk2d Kiaa4163,499,Q6PHZ2,Mus musculus (Mouse),283-292(Autoinhibitory domain),20668654,"Annotation was made based on sequence similarity with CAMK2D(Q13557, Homo sapiens). CAMK2D is a Calcium/Calmodulin (CaM)-dependent kinase II (CaMKII) that plays as a molecular switch of cellular signalling by transmitting Ca2+ signals in human. The C-terminal helix bound to the substrate-binding site causes autoinhibited CaMKII.",Annotated by sequence similarity,,
Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),CAMK4 CAMK CAMK-GR CAMKIV,473,Q16566,Homo sapiens (Human),305-321(Autoinhibitory domain),14984199,"Calcium/calmodulin-dependent protein kinase type 4 (CAMK4)  regulates transcription activators activity, cell cycle, hormone production, cell differentiation, actin filament organization and neurite outgrowth. In human CAMK1 (Q14012), the autoinhibitory region contains two helical structures (?R1 and ?R2) and includes a pseudosubstrate sequence within it. The ?R2 helix is at the N-terminal of CaM-binding domain. The ?R1 interacts with the catalytic core and ?R2 interacts with the ATP-binding region of CAMK1 for autoinhibition. The autoinhibitory region in CAMK4 was annotated by sequence similarity.",Annotated by sequence similarity,,
Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha),CAMKK1 CAMKKA,505,Q8N5S9,Homo sapiens (Human),435-440(Autoinhibitory domain),14984199,"Ca2+/calmodulin-dependent protein kinase kinases (CaMKKs) are a serine/threonine-directed kinase that is activated following increases in intracellular Ca2+ and is involved in a number of physiological pathways, including learning and memory formation, neuronal differentiation, and regulation of energy balance. In human CAMK1 (Q14012), the autoinhibitory region contains two helical structures (?R1 and ?R2) and includes a pseudosubstrate sequence within it. The ?R2 helix is at the N-terminal of CaM-binding domain. The ?R1 interacts with the catalytic core and ?R2 interacts with the ATP-binding region of CAMK1 for autoinhibition. The autoinhibitory region in CAMKK1 was annotated by sequence similarity.",Annotated by sequence similarity,,
Cyclin-T1 (CycT1) (Cyclin-T),CCNT1,727,Q9XT26,Equus caballus (Horse),335-727(C-terminal autoinhibitory region),10913173,"Annotation was made based on sequence similarity with CCNT1(O60563, Homo sapiens). Cyclin-T1 combines with cyclin-dependent kinase (Cdk9) and these complex is called positive transcription elongation facror B (P-TEFb). An intramolecular interaction between the N- and C-terminal regions of cyclin T1 sterically blocks the P-TEFb?AR interaction. Binding of Tat-SF1 to the CycT1 C-terminal region stabilizes the P-TEFb-Tat-TAR complex and stimulates HIV-1 transcription. The efficient interaction between P-TEFb and TAR RNA requires suppression of the autoinhibitory activity of the CycT1 C-terminal region.",Annotated by sequence similarity,,
Cyclin-T1 (CycT1) (Cyclin-T),CCNT1,725,Q8HXN7,Pan troglodytes (Chimpanzee),333-725(C-terminal autoinhibitory region),10913173,"Annotation was made based on sequence similarity with CCNT1(O60563, Homo sapiens). Cyclin-T1 combines with cyclin-dependent kinase (Cdk9) and these complex is called positive transcription elongation facror B (P-TEFb). An intramolecular interaction between the N- and C-terminal regions of cyclin T1 sterically blocks the P-TEFb?AR interaction. Binding of Tat-SF1 to the CycT1 C-terminal region stabilizes the P-TEFb-Tat-TAR complex and stimulates HIV-1 transcription. The efficient interaction between P-TEFb and TAR RNA requires suppression of the autoinhibitory activity of the CycT1 C-terminal region.",Annotated by sequence similarity,,
Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha),Cdc42bpa Kiaa0451,1719,Q3UU96,Mus musculus (Mouse),658-930(Coiled-coil domain),11283256,"Annotation was made based on sequence similarity with CDC42BPA {ECO:0000312|EMBL:CAH71336.1}(Q5VT25, Homo sapiens). CDC42BPA(MRCK) is a Cdc42-binding serine/threonine kinase which is an important downstream effector of CDC42 and plays a role in the regulation of cytoskeleton reorganization and cell migration.  A region containing the two distal CC domains (CC2 and CC3; residues 658-930) interacts intramolecularly with the kinase domain and negatively regulates its activity.",Annotated by sequence similarity,,
Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Vacuolar protein sorting-associated protein 2) (mVps2),Chmp2a,222,Q9DB34,Mus musculus (Mouse),181-222(C-terminal autoinhibitory region),17547705,"Charged multivesicular body protein 2a (Chmp2a) is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. In a study with human CHMP2A (O43633), removing 42 amino acids from the C-terminal of the protein unmasks a common ability to associate with endosomal membranes and assemble into large polymeric complexes, and the C-terminal sequences are also important for interaction of ESCRT-III protein with VPS4. Thus, ESCRT-III proteins cycle between a closed state and an activated open state is under control of sequences at the C-terminus and associated factors.  The autoinhibitory region in Chmp2a was annotated by sequence similarity.",Annotated by sequence similarity,,
Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24),CHMP3 VPS24,222,Q58CS7,Bos taurus (Bovine),151-222(C-terminal autoinhibitory region),17146056,"Annotation was made based on sequence similarity with CHMP3(Q9Y3E7, Homo sapiens). CHMP3 is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. The autoinhibition of CHMP3 is regulated through the intramolecular interactions between N-terminal basic domain and C-terminal acidic domain. The binding of the endosome-associated ubiquitin isopeptidase (AMSH ) to the acidic half relieves the autoinhibition of CHMP3. CHMP3 can be induced to block HIV-1 release (Anti-HIV-1 budding activity) by coexpressing AMSH or by truncating the acidic domain.",Annotated by sequence similarity,,
Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24),CHMP3 VPS24 QccE-16114,222,Q4R574,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),151-222(C-terminal autoinhibitory region),17146056,"Annotation was made based on sequence similarity with CHMP3(Q9Y3E7, Homo sapiens). CHMP3 is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. The autoinhibition of CHMP3 is regulated through the intramolecular interactions between N-terminal basic domain and C-terminal acidic domain. The binding of the endosome-associated ubiquitin isopeptidase (AMSH ) to the acidic half relieves the autoinhibition of CHMP3. CHMP3 can be induced to block HIV-1 release (Anti-HIV-1 budding activity) by coexpressing AMSH or by truncating the acidic domain.",Annotated by sequence similarity,,
Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1),CHMP4A C14orf123 SHAX2 CDA04 HSPC134,222,Q9BY43,Homo sapiens (Human),182-222(C-terminal autoinhibitory region),17547705,"Charged multivesicular body protein 4A (CHMP4A) is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. In a study with human CHMP2A (O43633), removing 42 amino acids from the C-terminal of the protein unmasks a common ability to associate with endosomal membranes and assemble into large polymeric complexes, and the C-terminal sequences are also important for interaction of ESCRT-III protein with VPS4. Thus, ESCRT-III proteins cycle between a closed state and an activated open state is under control of sequences at the C-terminus and associated factors.  ",Annotated by sequence similarity,,
Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b),Chmp4b,224,Q9D8B3,Mus musculus (Mouse),179-224(C-terminal autoinhibitory region),17547705,"Charged multivesicular body protein 4b (Chmp4b) is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. In a study with human CHMP2A (O43633), removing 42 amino acids from the C-terminal of the protein unmasks a common ability to associate with endosomal membranes and assemble into large polymeric complexes, and the C-terminal sequences are also important for interaction of ESCRT-III protein with VPS4. Thus, ESCRT-III proteins cycle between a closed state and an activated open state is under control of sequences at the C-terminus and associated factors.  ",Annotated by sequence similarity,,
Charged multivesicular body protein 4c (Chromatin-modifying protein 4c) (CHMP4c),Chmp4c,232,Q569C1,Rattus norvegicus (Rat),187-232(C-terminal autoinhibitory region),17547705,"Charged multivesicular body protein 4c (Chmp4c) is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. In a study with human CHMP2A (O43633), removing 42 amino acids from the C-terminal of the protein unmasks a common ability to associate with endosomal membranes and assemble into large polymeric complexes, and the C-terminal sequences are also important for interaction of ESCRT-III protein with VPS4. Thus, ESCRT-III proteins cycle between a closed state and an activated open state is under control of sequences at the C-terminus and associated factors.  ",Annotated by sequence similarity,,
Charged multivesicular body protein 4c (Chromatin-modifying protein 4c) (CHMP4c),Chmp4c,232,Q9D7F7,Mus musculus (Mouse),187-232(C-terminal autoinhibitory region),17547705,"Charged multivesicular body protein 4c (Chmp4c) is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. In a study with human CHMP2A (O43633), removing 42 amino acids from the C-terminal of the protein unmasks a common ability to associate with endosomal membranes and assemble into large polymeric complexes, and the C-terminal sequences are also important for interaction of ESCRT-III protein with VPS4. Thus, ESCRT-III proteins cycle between a closed state and an activated open state is under control of sequences at the C-terminus and associated factors.  ",Annotated by sequence similarity,,
Charged multivesicular body protein 6 (Chromatin-modifying protein 6) (Vacuolar protein sorting-associated protein 20) (Vps20) (hVps20),CHMP6 VPS20,201,Q96FZ7,Homo sapiens (Human),168-201(C-terminal autoinhibitory region),17547705,"Charged multivesicular body protein 4b (Chmp4b) is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. In a study with human CHMP2A (O43633), removing 42 amino acids from the C-terminal of the protein unmasks a common ability to associate with endosomal membranes and assemble into large polymeric complexes, and the C-terminal sequences are also important for interaction of ESCRT-III protein with VPS4. Thus, ESCRT-III proteins cycle between a closed state and an activated open state is under control of sequences at the C-terminus and associated factors.  ",Annotated by sequence similarity,,
Protein CHROMATIN REMODELING 8 (AtCHR8) (AtCSB) (EC 3.6.4.-),CHR8 CSB ERCC6 RAD26 RAD54 At2g18760 MSF3.14,1187,Q9ZV43,Arabidopsis thaliana (Mouse-ear cress),1-57(Leucine latch motif),25512493,Annotated by sequence similarity with Rhp26 (Q9UR24). Rhp26 is a model protein related to CSB/ERCC6 (Cockayne syndrome B protein/excision repair cross complementation group 6) proteins with key roles in gene expression and DNA repair system. The “leucine latch” motif at the N-terminus of Rhp26 is responsible for the autoinhibition of the ATPase and chromatin-remodelling activity through its interactions with lobe 2 of the core ATPase domain. The disruption of the leucine latch motif or deletion of the N terminus eliminates the autoinhibition of ATPase and remarkably enhances the chromatin remodelling activity resulting in a hyperactive Rhp26. ,Annotated by sequence similarity,,
CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 170) (CLIP-170) (Restin),Clip1 Kiaa4046 Rsn,1391,Q922J3,Mus musculus (Mouse),1370-1387(C-terminal zinc knuckle domains),"15381688, 17563362","Cytoplasmic linker protein (CLIP-170 or CLIP1) is a prototype of the plus end-tracking proteins that regulate microtubule dynamics. The CAP-Gly-2 domain possesses a basic groove and directly binds the EExEEY/F motif of the C-terminal acidic-tail ends of ?-tubulin. The C-terminal zinc knuckle domains of CLIP-170 bind the basic groove to inhibit the binding to the acidic tails. Once CLIP-170 binds microtubule, the released zinc knuckle domain may serve to recruit dynein to the plus end by interacting with the dynactin subunit p150Glued and LIS1.  ",Annotated by sequence similarity,,
Vesicle-fusing ATPase 1 (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein 1) (NEM-sensitive fusion protein 1) (Protein comatose) (Vesicular-fusion protein NSF1) (dNsf-1) (NSF-1),comt Nsf Nsf1 CG1618,745,P46461,Drosophila melanogaster (Fruit fly),203-222(N-D1 linker),23667709,NSF is a member of the type II AAA+ (ATPase associated with various cellular activities) family. Mutations within the N-D1 linker region may increase the basal activity of NSF. The region was identified by sequence similarity with human NSF protein (P46459).,Annotated by sequence similarity,,
"Atypical kinase COQ8, mitochondrial (EC 2.7.-.-) (Activity of bc1 complex protein 1) (Coenzyme Q protein 8) (Ubiquinone biosynthesis protein COQ8)",COQ8 ABC1 YGL119W,501,P27697,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),134-136(KxGQ motif),25498144,"COQ8 is a atypical kinase involved in coenzyme Q biosynthesis. A human homolgous protein (COQ8A, Q8NI60) is known to be autoinhibited by the intramolecular interaction between the KxGQ motif in N-termianl region and the binding site of the catalytic domain in the protein. The autoinhibitory region of Coq8a was annotated by sequence similarity.",Annotated by sequence similarity,,
"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",COQ8A ADCK3 CABC1,648,Q29RI0,Bos taurus (Bovine),276-279(KxGQ motif),25498144,"UbiB protein kinase-like (PKL) family is wide-spread, comprising one-quarter of microbial PKLs and five human homologs. COQ8A is a mammalian UbiB protein associated with ubiquinone (CoQ) biosynthesis. A human homolog (COQ8A,Q8NI60) lacks canonical protein kinase activity in trans. Instead, it has ATPase activity and interacts with lipid CoQ intermediates. Autoinhibition is achieved by the N-terminal region containing KxGQ motif, which occludes the substrate binding site of the kinase domain within the same polypeptide. The autoinhibitory region of Coq8a was annotated by sequence similarity.",Annotated by sequence similarity,,
"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",Coq8a Adck3 Cabc1,645,Q60936,Mus musculus (Mouse),273-276(KxGQ motif),25498144,"UbiB protein kinase-like (PKL) family is wide-spread, comprising one-quarter of microbial PKLs and five human homologs. Coq8a is a mammalian UbiB protein associated with ubiquinone (CoQ) biosynthesis. A human homolog (COQ8A,Q8NI60) lacks canonical protein kinase activity in trans. Instead, it has ATPase activity and interacts with lipid CoQ intermediates. Autoinhibition is achieved by the N-terminal region containing KxGQ motif, which occludes the substrate binding site of the kinase domain within the same polypeptide. The autoinhibitory region of Coq8a was annotated by sequence similarity.",Annotated by sequence similarity,,
"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",Coq8a Adck3 Cabc1,649,Q5BJQ0,Rattus norvegicus (Rat),277-280(KxGQ motif),25498144,"UbiB protein kinase-like (PKL) family is wide-spread, comprising one-quarter of microbial PKLs and five human homologs. Coq8a is a mammalian UbiB protein associated with ubiquinone (CoQ) biosynthesis. A human homolog (COQ8A,Q8NI60) lacks canonical protein kinase activity in trans. Instead, it has ATPase activity and interacts with lipid CoQ intermediates. Autoinhibition is achieved by the N-terminal region containing KxGQ motif, which occludes the substrate binding site of the kinase domain within the same polypeptide. The autoinhibitory region of Coq8a was annotated by sequence similarity.",Annotated by sequence similarity,,
"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",coq8a adck3 cabc1 zgc:92578,619,Q5RGU1,Danio rerio (Zebrafish) (Brachydanio rerio),245-248(KxGQ motif),25498144,"UbiB protein kinase-like (PKL) family is wide-spread, comprising one-quarter of microbial PKLs and five human homologs. Coq8a is a mammalian UbiB protein associated with ubiquinone (CoQ) biosynthesis. A human homolog (COQ8A,Q8NI60) lacks canonical protein kinase activity in trans. Instead, it has ATPase activity and interacts with lipid CoQ intermediates. Autoinhibition is achieved by the N-terminal region containing KxGQ motif, which occludes the substrate binding site of the kinase domain within the same polypeptide. The autoinhibitory region of Coq8a was annotated by sequence similarity.",Annotated by sequence similarity,,
"Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)",COQ8B ADCK4,544,Q96D53,Homo sapiens (Human),155-158(KxGQ motif),25498144,"COQ8B is an atypical kinase involved in the biosynthesis of coenzyme Q. A homolgous protein, COQ8A (Q8NI60), is autoinhibited by the intramolecular interaction between N-terminal region containing KxGQ motif and catalytic domain. The KxGQ motif may occlude the substrate binding site of the kinase domain.",Annotated by sequence similarity,,
