uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
E1K248,253,0.437,80,183,0.612,126,206,9.394,8.811,0.315,Acceptable
P04807,088,0.277,31,112,0.77,104,135,8.92,7.907,0.28,Acceptable
P23687,256,0.206,61,296,0.548,74,135,8.331,12.088,0.189,Incorrect
E1K248,054,0.41,75,183,0.646,137,212,9.175,13.334,0.242,Acceptable
G0WVH3,072,0.12,28,233,0.811,120,148,21.83,44.389,0.053,Incorrect
A0A0H2WY27,U10-001,0.792,160,202,0.2,40,200,2.746,15.403,0.418,Acceptable
H2E7Q8,U10-008,0.685,98,143,0.279,38,136,1.805,3.168,0.657,Medium
P04807,063,0.625,70,112,0.412,49,119,6.935,8.798,0.384,Acceptable
P14677,076,0.297,33,111,0.389,21,54,19.467,43.049,0.114,Incorrect
E1K248,032,0.612,112,183,0.495,110,222,9.943,10.964,0.337,Acceptable
P04807,U10-000,0.804,90,112,0.109,11,101,1.26,3.656,0.745,Medium
P0AG30,227,0.306,11,36,0.312,5,16,3.688,37.163,0.166,Incorrect
F2Z6J5,002,0.442,87,197,0.574,117,204,10.435,16.16,0.226,Incorrect
D9N168,U100-005,0.916,98,107,0.039,4,102,0.484,0.738,0.938,High
P04807,028,0.759,85,112,0.336,43,128,4.11,4.675,0.548,Medium
P0AG30,036,0.167,6,36,0.333,3,9,12.723,53.518,0.068,Incorrect
P04807,152,0.223,25,112,0.811,107,132,12.646,15.568,0.156,Incorrect
Q72AS4,182,0.724,139,192,0.377,84,223,6.233,14.481,0.345,Acceptable
Q941M3,U100-008,0.876,219,250,0.164,43,262,9.415,20.378,0.35,Acceptable
P23687,169,0.105,31,296,0.674,64,95,13.159,14.941,0.121,Incorrect
P23687,168,0.47,139,296,0.444,111,250,3.909,3.631,0.481,Acceptable
O68880,105,0.86,148,172,0.145,25,173,1.67,1.656,0.757,Medium
P04807,210,0.634,71,112,0.36,40,111,5.131,4.024,0.51,Medium
P23687,192,0.216,64,296,0.582,89,153,11.107,14.021,0.168,Incorrect
P23687,163,0.321,95,296,0.457,80,175,4.654,5.182,0.381,Acceptable
Q72AS4,104,0.677,130,192,0.43,98,228,6.477,6.421,0.455,Acceptable
F2Z6J5,151,0.553,109,197,0.417,78,187,10.826,27.054,0.221,Incorrect
Q72AS4,053,0.438,84,192,0.562,108,192,13.146,12.923,0.251,Acceptable
P23687,102,0.027,8,296,0.875,56,64,19.681,29.663,0.036,Incorrect
P23687,156,0.078,23,296,0.77,77,100,14.241,15.295,0.108,Incorrect
O60729,U10-004,0.705,79,112,0.383,49,128,18.093,53.37,0.246,Acceptable
Q7KLV9,U100-006,0.956,43,45,0.104,5,48,0.869,4.932,0.817,High
Q7KLV9,039,0.156,7,45,0.851,40,47,13.568,17.63,0.119,Incorrect
P0AG30,269,0.861,31,36,0.061,2,33,0.689,1.21,0.889,High
F2Z6J5,149,0.452,89,197,0.536,103,192,11.697,33.659,0.176,Incorrect
H6SG27,124,0.47,108,230,0.403,73,181,8.918,18.107,0.226,Incorrect
F2Z6J5,028,0.523,103,197,0.455,86,189,8.33,29.704,0.21,Incorrect
P23687,034,0.601,178,296,0.348,95,273,2.796,2.692,0.578,Medium
P0AG30,001,0.611,22,36,0.214,6,28,2.518,32.278,0.313,Acceptable
Q7KLV9,040,0.2,9,45,0.78,32,41,6.29,38.796,0.1,Incorrect
Q7KLV9,062,0.356,16,45,0.644,29,45,8.877,50.583,0.137,Incorrect
E1K248,012,0.432,79,183,0.497,78,157,11.495,14.436,0.235,Acceptable
Q8GN86,U100-008,0.88,168,191,0.116,22,190,0.946,1.432,0.856,High
G0WVH3,022,0.185,43,233,0.664,85,128,10.975,16.592,0.137,Incorrect
P0AG30,019,0.167,6,36,0.667,12,18,12.526,55.984,0.068,Incorrect
H2E7Q8,U10-006,0.783,112,143,0.217,31,143,1.313,2.521,0.756,Medium
O68880,024,0.913,157,172,0.151,28,185,0.858,0.978,0.884,High
P04807,128,0.67,75,112,0.312,34,109,5.121,6.439,0.461,Acceptable
P0AG30,310,0.722,26,36,0.235,8,34,1.644,43.493,0.404,Acceptable
P23687,153,0.098,29,296,0.58,40,69,12.071,14.444,0.123,Incorrect
P0AG30,303,0.944,34,36,0.081,3,37,0.493,8.882,0.775,Medium
P23687,025,0.419,124,296,0.463,107,231,4.173,4.274,0.444,Acceptable
G0WVH3,006,0.266,62,233,0.696,142,204,9.529,16.723,0.165,Incorrect
H6SG27,054,0.183,42,230,0.538,49,91,10.124,17.26,0.133,Incorrect
Q7KLV9,U10-005,0.2,9,45,0.757,28,37,5.334,19.158,0.146,Incorrect
E1K248,064,0.514,94,183,0.472,84,178,12.237,11.35,0.296,Acceptable
P0AG30,210,0.722,26,36,0.333,13,39,1.674,24.97,0.424,Acceptable
F2Z6J5,090,0.513,101,197,0.53,114,215,10.2,42.616,0.191,Incorrect
O68880,101,0.692,119,172,0.256,41,160,2.458,3.023,0.617,Medium
E1K248,167,0.497,91,183,0.462,78,169,10.425,11.577,0.289,Acceptable
G0WVH3,122,0.15,35,233,0.539,41,76,10.333,14.415,0.143,Incorrect
P14677,075,0.324,36,111,0.25,12,48,28.158,30.482,0.133,Incorrect
F2Z6J5,056,0.482,95,197,0.486,90,185,13.193,18.747,0.222,Incorrect
Q9I5E6,007,0.367,113,308,0.372,67,180,12.832,17.391,0.191,Incorrect
Q51504,010,0.089,16,180,0.667,32,48,22.288,39.26,0.046,Incorrect
P0AG30,104,0.306,11,36,0.267,4,15,3.968,64.887,0.149,Incorrect
P23687,304,0.267,79,296,0.543,94,173,6.4,8.536,0.272,Acceptable
D9N168,U10-001,0.925,99,107,0.048,5,104,0.646,1.417,0.914,High
P0AG30,040,0.194,7,36,0.417,5,12,13.697,55.147,0.077,Incorrect
Q9I5E6,030,0.315,97,308,0.412,68,165,13.97,18.353,0.168,Incorrect
Q72AS4,154,0.438,84,192,0.558,106,190,12.051,12.972,0.251,Acceptable
P23687,065,0.304,90,296,0.563,116,206,10.111,13.18,0.206,Incorrect
Q7KLV9,036,0.089,4,45,0.75,12,16,13.613,53.774,0.042,Incorrect
F2Z6J5,147,0.462,91,197,0.67,185,276,11.412,15.033,0.24,Acceptable
P59676,U100-004,0.909,100,110,0.029,3,103,0.452,1.698,0.929,High
O69275,002,0.321,34,106,0.521,37,71,3.365,10.567,0.293,Acceptable
P23687,096,0.28,83,296,0.468,73,156,7.376,7.09,0.303,Acceptable
Q9I5E6,023,0.289,89,308,0.508,92,181,15.773,28.199,0.127,Incorrect
Q7KLV9,U100-008,0.956,43,45,0.085,4,47,1.002,8.219,0.721,Medium
E1K248,149,0.388,71,183,0.601,107,178,10.617,6.155,0.355,Acceptable
G0WVH3,U100-003,0.94,219,233,0.052,12,231,0.665,2.551,0.898,High
Q7KLV9,045,0.267,12,45,0.647,22,34,7.001,37.494,0.12,Incorrect
P0AG30,007,0.944,34,36,0.056,2,36,0.322,1.288,0.959,High
G0WVH3,U100-001,0.923,215,233,0.057,13,228,1.255,4.57,0.762,Medium
O16025,U100-000,0.574,66,115,0.34,34,100,15.851,45.902,0.205,Incorrect
Q72AS4,170,0.62,119,192,0.541,140,259,7.487,13.617,0.313,Acceptable
Q72AS4,080,0.38,73,192,0.629,124,197,11.828,22.193,0.175,Incorrect
F2Z6J5,174,0.609,120,197,0.302,52,172,10.984,36.013,0.227,Incorrect
P23687,019,0.078,23,296,0.701,54,77,12.288,15.687,0.106,Incorrect
P0AG30,246,0.917,33,36,0.132,5,38,0.717,48.972,0.587,Medium
P0AG30,273,0.889,32,36,0.059,2,34,1.044,29.008,0.547,Medium
E1K248,091,0.361,66,183,0.66,128,194,10.633,14.162,0.215,Incorrect
P0AG30,163,0.833,30,36,0.118,4,34,1.126,32.316,0.513,Medium
A0A0A0V031,000,0.09,20,222,0.474,18,38,22.102,21.501,0.077,Incorrect
P23687,308,0.044,13,296,0.906,126,139,22.985,34.923,0.035,Incorrect
P23687,218,0.216,64,296,0.605,98,162,7.049,7.516,0.274,Acceptable
P04807,125,0.696,78,112,0.316,36,114,2.61,5.881,0.54,Medium
E1K248,177,0.432,79,183,0.575,107,186,11.116,12.601,0.254,Acceptable
O68880,U100-006,0.942,162,172,0.058,10,172,1.123,0.844,0.858,High
P23687,U10-007,0.777,230,296,0.201,58,288,1.681,1.265,0.733,Medium
P0AG30,056,0.861,31,36,0.139,5,36,1.261,1.315,0.808,High
G0WVH3,136,0.159,37,233,0.584,52,89,13.593,24.757,0.092,Incorrect
P23687,U10-008,0.764,226,296,0.193,54,280,1.563,1.539,0.737,Medium
P04807,018,0.643,72,112,0.339,37,109,3.242,4.355,0.537,Medium
H6SG27,U100-001,0.857,197,230,0.109,24,221,2.637,5.501,0.602,Medium
E1K248,U10-006,0.716,131,183,0.391,84,215,6.243,5.46,0.493,Medium
O60729,037,0.643,72,112,0.39,46,118,16.797,27.687,0.246,Acceptable
H6SG27,264,0.183,42,230,0.714,105,147,12.567,23.56,0.104,Incorrect
P0AG30,224,0.861,31,36,0.114,4,35,0.409,6.062,0.818,High
P23687,303,0.216,64,296,0.526,71,135,9.302,12.714,0.183,Incorrect
O68880,003,0.919,158,172,0.087,15,173,0.88,0.885,0.884,High
E1K248,178,0.596,109,183,0.471,97,206,7.069,5.665,0.444,Acceptable
P23687,131,0.541,160,296,0.292,66,226,3.911,4.302,0.488,Acceptable
O60729,000,0.652,73,112,0.24,23,96,28.87,39.948,0.233,Acceptable
P23687,244,0.584,173,296,0.332,86,259,2.886,2.609,0.57,Medium
A0A0F7R6G7,U10-007,0.87,194,223,0.126,28,222,1.132,2.97,0.799,Medium
A0A140DJY3,011,0.254,71,280,0.383,44,115,11.289,20.362,0.14,Incorrect
P23687,352,0.047,14,296,0.75,42,56,12.112,15.966,0.094,Incorrect
O68880,071,0.843,145,172,0.157,27,172,2.665,2.121,0.675,Medium
H6SG27,052,0.7,161,230,0.218,45,206,5.027,16.231,0.332,Acceptable
Q7KLV9,U100-003,0.956,43,45,0.085,4,47,0.883,6.941,0.766,Medium
Q9I5E6,086,0.075,23,308,0.705,55,78,20.628,42.221,0.04,Incorrect
Q72AS4,126,0.359,69,192,0.625,115,184,12.509,15.383,0.202,Incorrect
P04807,219,0.661,74,112,0.388,47,121,4.281,5.505,0.492,Medium
P0AG30,127,0.583,21,36,0.323,10,31,1.893,16.718,0.391,Acceptable
A0A3B6UEQ0,021,0.364,60,165,0.663,118,178,9.007,25.901,0.163,Incorrect
P23687,016,0.476,141,296,0.379,86,227,3.83,4.703,0.458,Acceptable
P0AG30,271,0.722,26,36,0.133,4,30,0.997,47.323,0.482,Acceptable
P04958,U10-008,0.465,213,458,0.165,42,255,36.137,49.361,0.165,Incorrect
F2Z6J5,129,0.533,105,197,0.36,59,164,9.833,24.303,0.222,Incorrect
E1K248,066,0.563,103,183,0.418,74,177,12.6,20.362,0.242,Acceptable
E1K248,U100-008,0.891,163,183,0.138,26,189,5.94,4.881,0.568,Medium
E1K248,119,0.481,88,183,0.516,94,182,8.375,8.213,0.343,Acceptable
P04958,U10-004,0.452,207,458,0.182,46,253,34.241,44.414,0.163,Incorrect
P04807,192,0.643,72,112,0.405,49,121,4.568,4.832,0.499,Medium
H6SG27,134,0.67,154,230,0.256,53,207,5.274,14.347,0.335,Acceptable
E1K248,126,0.437,80,183,0.565,104,184,9.711,7.814,0.334,Acceptable
P14677,016,0.333,37,111,0.383,23,60,17.325,28.254,0.141,Incorrect
P23687,129,0.22,65,296,0.57,86,151,6.995,8.971,0.246,Acceptable
F2Z6J5,133,0.431,85,197,0.452,70,155,9.965,36.284,0.169,Incorrect
O60729,034,0.652,73,112,0.336,37,110,18.171,40.245,0.234,Acceptable
G0WVH3,103,0.129,30,233,0.508,31,61,16.794,22.03,0.089,Incorrect
E1K248,083,0.596,109,183,0.447,88,197,7.543,7.674,0.395,Acceptable
H6SG27,047,0.604,139,230,0.265,50,189,4.586,10.545,0.365,Acceptable
F2Z6J5,167,0.487,96,197,0.553,119,215,11.32,18.982,0.224,Incorrect
E1K248,057,0.514,94,183,0.525,104,198,12.574,15.559,0.253,Acceptable
O68880,115,0.686,118,172,0.289,48,166,2.017,2.555,0.653,Medium
P23687,216,0.5,148,296,0.398,98,246,3.374,3.356,0.51,Medium
O60729,038,0.625,70,112,0.364,40,110,13.983,34.311,0.231,Acceptable
P0AG30,218,0.889,32,36,0.111,4,36,1.13,39.799,0.524,Medium
Q7KLV9,U10-007,0.978,44,45,0.102,5,49,1.205,19.005,0.584,Medium
Q9I5E6,U10-003,0.597,184,308,0.255,63,247,3.871,6.452,0.454,Acceptable
A0A3B6UEQ0,102,0.509,84,165,0.4,56,140,14.312,26.465,0.204,Incorrect
Q72AS4,050,0.521,100,192,0.412,70,170,13.023,14.618,0.262,Acceptable
P23687,U100-003,0.922,273,296,0.119,37,310,0.675,0.514,0.917,High
P0AG30,111,0.611,22,36,0.214,6,28,2.839,59.949,0.283,Acceptable
Q72AS4,197,0.333,64,192,0.595,94,158,9.61,20.831,0.167,Incorrect
P59676,U10-008,0.327,36,110,0.308,16,52,15.364,42.617,0.125,Incorrect
Q941M3,U100-006,0.852,213,250,0.058,13,226,1.832,4.848,0.669,Medium
Q941M3,U10-007,0.8,200,250,0.197,49,249,9.735,20.94,0.322,Acceptable
H6SG27,225,0.387,89,230,0.386,56,145,14.111,17.12,0.199,Incorrect
H6SG27,129,0.604,139,230,0.268,51,190,6.823,14.237,0.304,Acceptable
G0WVH3,043,0.094,22,233,0.312,10,32,23.844,45.751,0.044,Incorrect
A0A0H2WY27,006,0.233,47,202,0.627,79,126,19.399,64.192,0.085,Incorrect
F2Z6J5,153,0.457,90,197,0.579,124,214,11.543,17.398,0.222,Incorrect
P04807,139,0.25,28,112,0.754,86,114,9.044,11.397,0.211,Incorrect
H6SG27,032,0.335,77,230,0.434,59,136,18.082,28.839,0.141,Incorrect
E1K248,093,0.519,95,183,0.545,114,209,8.642,15.921,0.257,Acceptable
P23687,147,0.064,19,296,0.667,38,57,23.828,24.884,0.058,Incorrect
P0AG30,126,0.611,22,36,0.5,22,44,4.59,40.604,0.25,Acceptable
H6SG27,092,0.57,131,230,0.311,59,190,7.139,5.305,0.444,Acceptable
P14677,078,0.297,33,111,0.389,21,54,24.736,54.553,0.108,Incorrect
P23687,045,0.034,10,296,0.8,40,50,24.16,24.924,0.047,Incorrect
Q9I5E6,094,0.075,23,308,0.803,94,117,18.796,33.68,0.047,Incorrect
A0A3B6UEQ0,014,0.57,94,165,0.437,73,167,9.506,21.226,0.244,Acceptable
O69275,004,0.085,9,106,0.908,89,98,24.883,43.561,0.042,Incorrect
P23687,042,0.399,118,296,0.392,76,194,8.993,8.315,0.312,Acceptable
Q941M3,010,0.312,78,250,0.435,60,138,19.283,30.159,0.131,Incorrect
Q72AS4,038,0.37,71,192,0.66,138,209,10.936,15.779,0.204,Incorrect
O68880,U100-002,0.959,165,172,0.041,7,172,0.377,0.338,0.966,High
P14677,000,0.072,8,111,0.862,50,58,27.846,37.452,0.041,Incorrect
O68880,U100-009,0.942,162,172,0.041,7,169,0.362,0.357,0.962,High
O69275,001,0.132,14,106,0.844,76,90,15.235,29.16,0.073,Incorrect
Q7KLV9,U100-001,0.978,44,45,0.083,4,48,1.089,8.325,0.714,Medium
P14677,086,0.324,36,111,0.333,18,54,18.642,34.821,0.129,Incorrect
P23687,284,0.25,74,296,0.464,64,138,6.647,7.956,0.277,Acceptable
Q9I5E6,024,0.058,18,308,0.746,53,71,23.368,40.338,0.035,Incorrect
P14677,111,0.279,31,111,0.34,16,47,26.927,37.65,0.11,Incorrect
A0A140DJY3,010,0.104,29,280,0.809,123,152,19.194,30.079,0.061,Incorrect
O68880,050,0.872,150,172,0.085,14,164,1.473,1.441,0.784,Medium
G0WVH3,U100-007,0.944,220,233,0.064,15,235,0.905,3.156,0.852,High
G0WVH3,075,0.103,24,233,0.671,49,73,18.664,28.169,0.064,Incorrect
Q51504,019,0.117,21,180,0.696,48,69,16.918,33.193,0.062,Incorrect
P0AG30,170,0.833,30,36,0.167,6,36,1.259,13.889,0.564,Medium
F2Z6J5,119,0.442,87,197,0.416,62,149,10.742,18.803,0.21,Incorrect
P59676,U100-007,0.918,101,110,0.029,3,104,0.42,2.417,0.924,High
Q72AS4,173,0.542,104,192,0.402,70,174,10.801,7.905,0.366,Acceptable
H6SG27,013,0.178,41,230,0.682,88,129,9.254,14.036,0.157,Incorrect
A0A3B6UEQ0,017,0.836,138,165,0.211,37,175,2.182,29.622,0.411,Acceptable
A0A3B6UEQ0,040,0.618,102,165,0.266,37,139,13.412,25.773,0.243,Acceptable
P0AG30,275,0.972,35,36,0.079,3,38,0.573,15.084,0.695,Medium
H6SG27,290,0.143,33,230,0.612,52,85,26.662,46.52,0.06,Incorrect
P0AG30,183,0.25,9,36,0.625,15,24,8.06,55.691,0.102,Incorrect
P23687,335,0.264,78,296,0.574,105,183,9.648,9.633,0.242,Acceptable
P23687,050,0.233,69,296,0.589,99,168,9.806,13.015,0.185,Incorrect
E1K248,214,0.525,96,183,0.484,90,186,8.399,8.104,0.36,Acceptable
A0A3B6UEQ0,U10-001,0.788,130,165,0.128,19,149,6.142,31.758,0.304,Acceptable
P23687,242,0.584,173,296,0.34,89,262,3.366,3.307,0.54,Medium
P23687,061,0.206,61,296,0.52,66,127,10.152,13.439,0.171,Incorrect
H6SG27,U100-008,0.896,206,230,0.08,18,224,0.979,2.082,0.847,High
P0AG30,237,0.833,30,36,0.091,3,33,0.909,24.187,0.558,Medium
Q72AS4,057,0.557,107,192,0.415,76,183,8.529,10.308,0.331,Acceptable
H2E7Q8,U100-002,0.769,110,143,0.22,31,141,1.262,2.347,0.761,Medium
A0A0A0V031,U10-003,0.734,163,222,0.216,45,208,4.586,5.543,0.511,Medium
O60729,035,0.696,78,112,0.355,43,121,13.783,37.205,0.253,Acceptable
P0AG30,125,0.722,26,36,0.188,6,32,1.587,16.697,0.467,Acceptable
P14677,081,0.324,36,111,0.2,9,45,20.128,30.904,0.133,Incorrect
P0AG30,116,0.917,33,36,0.132,5,38,1.088,18.995,0.58,Medium
G0WVH3,167,0.094,22,233,0.371,13,35,22.17,31.153,0.056,Incorrect
E1K248,122,0.454,83,183,0.561,106,189,8.906,16.977,0.227,Incorrect
Q7KLV9,019,0.511,23,45,0.477,21,44,4.403,36.309,0.222,Incorrect
P14677,108,0.324,36,111,0.217,10,46,17.167,50.719,0.12,Incorrect
H6SG27,293,0.087,20,230,0.74,57,77,20.649,34.499,0.05,Incorrect
A0A3B6UEQ0,058,0.582,96,165,0.329,47,143,7.095,26.986,0.238,Acceptable
P23687,354,0.088,26,296,0.687,57,83,16.867,18.149,0.092,Incorrect
E1K248,153,0.541,99,183,0.548,120,219,9.089,10.342,0.324,Acceptable
O68880,111,0.564,97,172,0.386,61,158,8.674,7.598,0.383,Acceptable
P04807,204,0.67,75,112,0.348,40,115,2.965,4.682,0.547,Medium
P04807,213,0.589,66,112,0.389,42,108,6.5,9.959,0.354,Acceptable
G0WVH3,101,0.12,28,233,0.769,93,121,19.366,28.114,0.07,Incorrect
P0AG30,214,0.889,32,36,0.111,4,36,0.564,6.043,0.81,High
A0A0A0V031,U100-001,0.739,164,222,0.128,24,188,3.272,4.46,0.566,Medium
A0A3B6UEQ0,071,0.739,122,165,0.303,53,175,6.366,26.556,0.295,Acceptable
P0AG30,295,0.833,30,36,0.091,3,33,0.981,25.676,0.544,Medium
H6SG27,241,0.574,132,230,0.309,59,191,4.002,11.204,0.354,Acceptable
G0WVH3,176,0.107,25,233,0.49,24,49,20.226,28.351,0.065,Incorrect
P0AG30,244,0.222,8,36,0.636,14,22,6.408,60.461,0.098,Incorrect
H6SG27,145,0.67,154,230,0.27,57,211,4.414,13.534,0.352,Acceptable
P04807,039,0.607,68,112,0.387,43,111,4.194,2.115,0.554,Medium
P23687,081,0.122,36,296,0.684,78,114,18.079,27.274,0.072,Incorrect
O68880,U10-008,0.959,165,172,0.068,12,177,0.49,0.568,0.953,High
E1K248,022,0.508,93,183,0.551,114,207,11.141,16.218,0.247,Acceptable
H6SG27,108,0.752,173,230,0.231,52,225,2.67,5.462,0.567,Medium
P23687,U100-004,0.868,257,296,0.146,44,301,1.05,0.787,0.844,High
P04807,036,0.625,70,112,0.426,52,122,4.617,8.443,0.408,Acceptable
O16025,U10-000,0.557,64,115,0.229,19,83,16.274,36.978,0.205,Incorrect
Q72AS4,090,0.38,73,192,0.612,115,188,9.332,13.861,0.226,Incorrect
F2Z6J5,233,0.447,88,197,0.537,102,190,7.86,28.186,0.188,Incorrect
P23687,120,0.304,90,296,0.529,101,191,9.576,9.275,0.262,Acceptable
G0WVH3,U100-004,0.931,217,233,0.048,11,228,1.065,3.161,0.825,High
P23687,056,0.02,6,296,0.943,100,106,18.241,20.743,0.057,Incorrect
P0AG30,010,0.444,16,36,0.36,9,25,2.862,22.857,0.26,Acceptable
Q7KLV9,088,0.911,41,45,0.163,8,49,5.305,28.81,0.355,Acceptable
H6SG27,141,0.657,151,230,0.205,39,190,6.718,13.342,0.331,Acceptable
H6SG27,017,0.843,194,230,0.181,43,237,4.987,11.814,0.423,Acceptable
Q9I5E6,039,0.36,111,308,0.376,67,178,15.347,21.231,0.169,Incorrect
A0A3B6UEQ0,073,0.606,100,165,0.476,91,191,8.577,23.955,0.249,Acceptable
O68880,057,0.907,156,172,0.066,11,167,0.845,1.015,0.884,High
P0AG30,U10-002,0.861,31,36,0.088,3,34,0.467,1.232,0.917,High
Q9I5E6,U100-008,0.968,298,308,0.086,28,326,0.629,1.481,0.93,High
E1K248,019,0.454,83,183,0.581,115,198,10.902,14.972,0.239,Acceptable
P04807,201,0.464,52,112,0.5,52,104,4.064,5.637,0.426,Acceptable
P23687,353,0.105,31,296,0.796,121,152,20.832,34.894,0.055,Incorrect
F2Z6J5,113,0.472,93,197,0.508,96,189,10.777,42.992,0.176,Incorrect
H6SG27,016,0.374,86,230,0.459,73,159,14.009,21.388,0.174,Incorrect
H2E7Q8,U10-004,0.685,98,143,0.3,42,140,1.597,3.543,0.669,Medium
H6SG27,299,0.513,118,230,0.416,84,202,8.036,18.041,0.243,Acceptable
E1K248,181,0.492,90,183,0.474,81,171,11.471,18.632,0.227,Incorrect
H6SG27,270,0.33,76,230,0.479,70,146,11.36,19.231,0.17,Incorrect
Q941M3,000,0.292,73,250,0.336,37,110,26.86,43.777,0.11,Incorrect
O68880,084,0.895,154,172,0.125,22,176,1.86,2.345,0.74,Medium
G0WVH3,099,0.155,36,233,0.591,52,88,10.483,24.463,0.094,Incorrect
F2Z6J5,066,0.477,94,197,0.484,88,182,8.439,14.799,0.252,Acceptable
Q72AS4,171,0.495,95,192,0.486,90,185,9.011,14.943,0.255,Acceptable
A0A0H2WY27,U100-002,0.832,168,202,0.168,34,202,1.121,23.718,0.529,Medium
H6SG27,294,0.096,22,230,0.714,55,77,22.385,43.327,0.046,Incorrect
Q7KLV9,065,0.956,43,45,0.044,2,45,1.26,13.336,0.61,Medium
F2Z6J5,128,0.467,92,197,0.521,100,192,8.643,23.744,0.203,Incorrect
P23687,006,0.132,39,296,0.61,61,100,12.941,13.966,0.138,Incorrect
H6SG27,179,0.217,50,230,0.63,85,135,10.233,18.509,0.138,Incorrect
G0WVH3,008,0.129,30,233,0.703,71,101,11.832,21.646,0.093,Incorrect
A0A0F7R6G7,U10-006,0.583,130,223,0.286,52,182,8.675,21.798,0.248,Acceptable
P0AG30,304,0.389,14,36,0.548,17,31,4.17,25.309,0.202,Incorrect
Q9I5E6,026,0.38,117,308,0.354,64,181,15.577,19.767,0.182,Incorrect
H6SG27,114,0.235,54,230,0.565,70,124,14.676,21.278,0.128,Incorrect
F2Z6J5,172,0.442,87,197,0.503,88,175,12.074,27.928,0.181,Incorrect
P14677,041,0.297,33,111,0.267,12,45,12.176,42.703,0.117,Incorrect
G0WVH3,052,0.172,40,233,0.636,70,110,16.122,36.396,0.077,Incorrect
P23687,130,0.368,109,296,0.411,76,185,5.823,6.382,0.357,Acceptable
P04807,005,0.705,79,112,0.295,33,112,5.018,5.904,0.487,Acceptable
H6SG27,292,0.113,26,230,0.422,19,45,14.922,23.116,0.081,Incorrect
P04807,026,0.705,79,112,0.368,46,125,4.296,4.116,0.541,Medium
H6SG27,219,0.452,104,230,0.402,70,174,11.471,16.319,0.227,Incorrect
Q72AS4,121,0.552,106,192,0.467,93,199,8.727,18.594,0.251,Acceptable
G0WVH3,137,0.094,22,233,0.593,32,54,16.932,24.002,0.071,Incorrect
Q72AS4,097,0.344,66,192,0.602,100,166,11.647,13.543,0.214,Incorrect
H6SG27,055,0.126,29,230,0.517,31,60,14.594,27.418,0.075,Incorrect
P04807,010,0.804,90,112,0.159,17,107,1.712,4.956,0.661,Medium
E1K248,046,0.579,106,183,0.49,102,208,10.004,8.419,0.369,Acceptable
P0AG30,206,0.667,24,36,0.294,10,34,1.628,24.029,0.412,Acceptable
F2Z6J5,138,0.513,101,197,0.439,79,180,10.51,28.125,0.205,Incorrect
P04807,117,0.652,73,112,0.324,35,108,4.349,3.601,0.535,Medium
G0WVH3,U10-007,0.734,171,233,0.086,16,187,3.489,9.538,0.444,Acceptable
H6SG27,262,0.148,34,230,0.564,44,78,11.516,18.641,0.112,Incorrect
F2Z6J5,169,0.64,126,197,0.354,69,195,10.464,41.464,0.233,Acceptable
Q7KLV9,094,0.133,6,45,0.885,46,52,6.033,18.247,0.123,Incorrect
E1K248,049,0.355,65,183,0.726,172,237,12.47,27.803,0.152,Incorrect
A0A0A0V031,U100-008,0.743,165,222,0.171,34,199,3.839,5.214,0.534,Medium
P23687,070,0.071,21,296,0.79,79,100,11.675,11.806,0.143,Incorrect
P23687,362,0.169,50,296,0.675,104,154,12.508,15.106,0.141,Incorrect
O69275,U10-006,0.604,64,106,0.273,24,88,2.268,9.441,0.452,Acceptable
E1K248,107,0.47,86,183,0.606,132,218,8.642,10.905,0.292,Acceptable
P04807,069,0.518,58,112,0.528,65,123,4.468,5.174,0.45,Acceptable
P23687,039,0.203,60,296,0.603,91,151,8.749,11.809,0.191,Incorrect
P04807,173,0.696,78,112,0.339,40,118,4.537,7.027,0.463,Acceptable
P23687,123,0.307,91,296,0.543,108,199,7.602,6.179,0.333,Acceptable
E1K248,191,0.519,95,183,0.469,84,179,8.199,13.039,0.283,Acceptable
E1K248,044,0.475,87,183,0.476,79,166,10.876,12.149,0.274,Acceptable
Q9I5E6,038,0.373,115,308,0.388,73,188,12.008,14.985,0.211,Incorrect
Q72AS4,099,0.401,77,192,0.536,89,166,8.278,9.154,0.299,Acceptable
Q72AS4,048,0.464,89,192,0.588,127,216,10.878,15.228,0.24,Acceptable
E1K248,055,0.443,81,183,0.597,120,201,12.117,13.171,0.251,Acceptable
P0AG30,209,0.361,13,36,0.435,10,23,4.611,44.8,0.164,Incorrect
Q7KLV9,049,0.067,3,45,0.85,17,20,20.751,64.947,0.03,Incorrect
Q72AS4,131,0.391,75,192,0.554,93,168,10.081,19.205,0.192,Incorrect
F2Z6J5,070,0.518,102,197,0.466,89,191,9.766,15.294,0.259,Acceptable
P23687,089,0.628,186,296,0.306,82,268,3.341,3.451,0.552,Medium
P23687,232,0.189,56,296,0.608,87,143,9.524,7.698,0.254,Acceptable
F2Z6J5,104,0.513,101,197,0.512,106,207,8.444,10.628,0.311,Acceptable
P23687,043,0.162,48,296,0.442,38,86,12.936,16.367,0.129,Incorrect
F2Z6J5,163,0.635,125,197,0.39,80,205,7.219,21.665,0.27,Acceptable
P23687,272,0.135,40,296,0.646,73,113,15.812,19.44,0.102,Incorrect
Q72AS4,103,0.5,96,192,0.435,74,170,8.773,10.265,0.312,Acceptable
