Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB,Number of PDBs
,,,Q60676,,,,,,,,Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT),Ppp5c,499,Mus musculus (Mouse),28-129(N-terminal tetratricopeptide repeat);495-499(C-terminal autoinhibitory region),"15577939, 11523989","Protein phosphatase 5 (Ppp5) is a serine/threonine protein phosphatase comprising a regulatory tetratricopeptide repeat (TPR) domain N-terminal to its phosphatase domain. Ppp5 functions in signaling pathways that control cellular responses to stress, glucocorticoids and DNA damage. Its phosphatase activity is suppressed by an autoinhibited conformation maintained by the TPR domain and a C-terminal subdomain. The TPR domain engages with the catalytic channel of the phosphate domain, restricting access to the catalytic site. This autoinhibited conformation of Ppp5 is stabilized by the C-terminal ?J helix. In a study with rat PPP5C (P53042), the protein also contains a C-terminal regulatory region that may interact with the TPR domain. The autoinhibitory regions were inferred by sequence similarity with the human PPP5C (P53041) and rat PPP5C (P53042).",Annotated by sequence similarity,,,0
,,,O43049,,,,,,,,Serine/threonine-protein phosphatase T (PPT) (EC 3.1.3.16),ppt1 SPBC3F6.01c,473,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),5-106(N-terminal tetratricopeptide repeat),,"Annotation identified by sequence similarity was extracted from UniProt. The TPR repeats mediate protein-protein interactions with substrate proteins, but also autoinhibit PPT phosphatase activity.",Annotated by sequence similarity,,,0
,,,Q5REL1,,,,,,,,cAMP-dependent protein kinase type I-alpha regulatory subunit,PRKAR1A,381,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),97-101(Autoinhibitory segment),17614255,"Annotation was made based on sequence similarity with PRKAR1A(P10644, Homo sapiens). PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.",Annotated by sequence similarity,,,0
,,,P09456,,,,,,,,"cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",Prkar1a,381,Rattus norvegicus (Rat),97-101(Autoinhibitory segment),17614255,"Annotation was made based on sequence similarity with PRKAR1A(P10644, Homo sapiens). PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.",Annotated by sequence similarity,,,0
,,,P07802,,,,,,,,"cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",PRKAR1A,380,Sus scrofa (Pig),96-100(Autoinhibitory segment),17614255,"Annotation was made based on sequence similarity with PRKAR1A(P10644, Homo sapiens). PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.",Annotated by sequence similarity,,,0
,,,P20444,,,,,,,,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),Prkca Pkca,672,Mus musculus (Mouse),19-36(Pseudosubstrate site),"18923184, 28049730, 2253627, 2153665","Annotation was made based on sequence similarity with PRKCA(P17252, Homo sapiens). PRKCA encodes for Protein kinase C (PKC) alpha type, belongs to the PCKs family, is involved in various cellular processes, including cell growth, immune response, muscle contraction, and synaptic plasticity. The well-known autoinhibitory region of PKC family is the pseudosubstrate sequence at around residues 19-36, which directly interacts and blocks catalytic activity of the kinase domain. Subsequence to the pseudosubstrate site is the C1 domains (C1A and C1B, that bind diacylglycerol (DAG)), and C2 domain (bind anionic phospholipids in a Ca2+-dependent manner). C1a (residues 37-89) domain coordinates a network of domain-domain intramolecular interactions, including direct C1a-C2 contacts. The pseudosubstrate and C1a domains operate as a single functional unit and is necessary to maintain autoinhibition. Additionally, in the absence of the C1a domain there is a significant increase in basal activity.",Annotated by sequence similarity,,,0
,,,Q62101,,,,,,,,Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu),Prkd1 Pkcm Pkd Prkcm,918,Mus musculus (Mouse),428-547(PH domain),12637538,Protein kinase D (PKD) is a member of Ser/Thr kinases and plays a major role in Golgi function and organization. The PH domain within the PKD may autoinhibit the function of the PKD.  The autoinhibitory region was annotated by sequence similarity with the PH domain of PRKD1 (Q15139).,Annotated by sequence similarity,,,0
,,,Q8K1Y2,,,,,,,,Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (nPKC-nu),Prkd3 Prkcn,889,Mus musculus (Mouse),416-532(PH domain),12637538,Protein kinase D (PKD) is a member of Ser/Thr kinases and plays a major role in Golgi function and organization. The PH domain within the PKD may autoinhibit the function of the PKD.  The autoinhibitory region was annotated by sequence similarity with the PH domain of PRKD1 (Q15139).,Annotated by sequence similarity,,,0
,,,Q1IGT7,,,,,,,,Putative signal transduction protein GGDEF/EAL domain,PSEEN0139,648,Pseudomonas entomophila (strain L48),171-400(HAMP and GGDEF domain),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648) with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by releasing the S helix and the GGDEF domain, facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,0
,,,O35346,,,,,,,,Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK),Ptk2 Fak Fak1,1055,Rattus norvegicus (Rat),35-355(FERM domain),"27790061, 17574028","Focal adhesion kinase (FAK) is a non-receptor kinase that controls the migration, proliferation, and survival of cells. A human homologous FAK (Q05397) contains an N-terminal FERM domain, a kinase domain, and a C-terminal focal adhesion-targeting (FAT) domain. LRRK2 directly binds to and phosphorylates the threonine 474 of FAK, thereby inhibiting the phosphorylation of FAK at tyrosine 397 residue, which is a marker of its activation. The T474 phosphorylation induces a conformational change, enabling its N-terminal FERM domain to autoinhibit Y397 phosphorylation. Deletion of the FERM domain increases Y397 phosphorylation.",Annotated by sequence similarity,,,0
,,,Q90687,,,,,,,,Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (SH-PTP2) (cSH-PTP2),PTPN11,593,Gallus gallus (Chicken),1-103(N-SH2 domain),"20648242, 21365683","Annotation was made based on sequence similarity with PTPN11(Q06124, Homo sapiens). SHPTP2 is a widely-expressed Src homology 2 (SH2) domain-containing protein tyrosine phosphatase (PTP) that is important for normal cell development. It plays a critical role in a variety of signal transduction pathways, including growth factor-mediated cell proliferation Regulation of SHPTP2 activity is, in part, achieved by an intramolecular interaction between the PTP domain of the protein, which contains the catalytic site, and the N-SH2 domain leading to a ?losed protein conformation and autoinhibition. Accordingly, ?pening of the N-SH2 and PTP domains is required for the protein to become active. The binding of phosphopeptides to the N-SH2 domain is known to induce the opening event.",Annotated by sequence similarity,,,0
,,,P41499,,,,,,,,Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2),Ptpn11,593,Rattus norvegicus (Rat),1-103(N-SH2 domain),"20648242, 21365683","Annotation was made based on sequence similarity with PTPN11(Q06124, Homo sapiens). SHPTP2 is a widely-expressed Src homology 2 (SH2) domain-containing protein tyrosine phosphatase (PTP) that is important for normal cell development. It plays a critical role in a variety of signal transduction pathways, including growth factor-mediated cell proliferation Regulation of SHPTP2 activity is, in part, achieved by an intramolecular interaction between the PTP domain of the protein, which contains the catalytic site, and the N-SH2 domain leading to a ?losed protein conformation and autoinhibition. Accordingly, ?pening of the N-SH2 and PTP domains is required for the protein to become active. The binding of phosphopeptides to the N-SH2 domain is known to induce the opening event.",Annotated by sequence similarity,,,0
,,,A7E3S4,,,,,,,,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),RAF1,648,Bos taurus (Bovine),51-186(RBD domain and CRD domain),"9689060, 15710605, 12551923, 19948477","Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. In studies with human RAF1 (P04049), when the catalytic domain of Raf-1 is expressed alone, it exhibits a constutive activity. Raf-1 is regulated by an N-terminal autoinhibitory domain including RBD and CRD domains. The autoinhibitory region blocks the catalytic kinase domain (CR3) and the autoinhibition is interrupted by the interaction with Ras.",Annotated by sequence similarity,,,0
,,,Q5R5M7,,,,,,,,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),RAF1,648,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),51-186(RBD domain and CRD domain),"9689060, 15710605, 12551923, 19948477","Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. In studies with human RAF1 (P04049), when the catalytic domain of Raf-1 is expressed alone, it exhibits a constutive activity. Raf-1 is regulated by an N-terminal autoinhibitory domain including RBD and CRD domains. The autoinhibitory region blocks the catalytic kinase domain (CR3) and the autoinhibition is interrupted by the interaction with Ras.",Annotated by sequence similarity,,,0
,,,Q99N57,,,,,,,,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),Raf1 Craf,648,Mus musculus (Mouse),51-186(RBD domain and CRD domain),"9689060, 15710605, 12551923, 19948477","Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. In studies with human RAF1 (P04049), when the catalytic domain of Raf-1 is expressed alone, it exhibits a constutive activity. Raf-1 is regulated by an N-terminal autoinhibitory domain including RBD and CRD domains. The autoinhibitory region blocks the catalytic kinase domain (CR3) and the autoinhibition is interrupted by the interaction with Ras.",Annotated by sequence similarity,,,0
,,,Q21RY9,,,,,,,,Diguanylate cyclase/phosphodiesterase,Rfer_3764,637,Rhodoferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Albidiferax ferrireducens),170-395(HAMP-GGDEF),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,0
,,,Q9CTN4,,,,,,,,Rho-related BTB domain-containing protein 3 (EC 3.6.1.-),Rhobtb3 Kiaa0878,611,Mus musculus (Mouse),420-611(BTB domain),,"Rho GTPases are key regulators of the actin-based cytoskeleton and Rab GTPases are key regulators of membrane traffic. The atypical Rho GTPase family member, RhoBTB3, binds directly to Rab9 GTPase and functions with Rab9 in protein transport from endosomes to the trans Golgi network. In a study with human RhoBTB3 (O94955), full-length RhoBTB3 protein displays 50% the rate of ATP hydrolysis seen for the Rho domain alone, representing autoinhibition in RhoBTB3. Rab9 binding to the C-terminus (residues 420-611, BTB domain) of RhoBTB3 opens the autoinhibited RhoBTB3 protein to permit maximal ATP hydrolysis. ",Annotated by sequence similarity,,,0
,,,Q63644,,,,,,,,"Rho-associated protein kinase 1 (EC 2.7.11.1) (Liver regeneration-related protein LRRG199) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p150 RhoA-binding kinase ROK beta) (p160 ROCK-1) (p160ROCK)",Rock1 Ac2-154,1369,Rattus norvegicus (Rat),949-1015(RBD domain);1133-1332(PH domain),"12778124, 10542285, 11815607, 8816443","Rho kinases (ROCKs) are serine/threonine kinases that are involved in many aspects of cell motility, from smooth-muscle contraction to cell migration and neurite outgrowth. ROCK2, one of ROCK isoforms, contains an N-terminal kinase domain, Rho-binding domain (RBD), and PH domain. RBD and PH domains interact with the catalytic kinase domain for autoinhibition. Rho binding to RBD relieves the autoinhibition. Since ROCK1 also contains the domains, ROCK1 may employ a similar autoinhibiton mechanism.",Annotated by sequence similarity,,,0
,,,P70336,,,,,,,,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",Rock2,1388,Mus musculus (Mouse),971-1047(RBD domain);1150-1349(PH domain),"12778124, 105422805, 11815607, 8816443","Annotation was made based on sequence similarity with Rock2(Q62868, Rattus norvegicus). Rho kinases (ROCKs) are serine/threonine kinases that are involved in many aspects of cell motility, from smooth-muscle contraction to cell migration and neurite outgrowth. ROCK2 contains an N-terminal kinase domain, Rho-binding domain (RBD), and PH domain. RBD and PH domains interact with the catalytic kinase domain for autoinhibition. Rho binding to RBD relieves the autoinhibition.",Annotated by sequence similarity,,,0
,,,Q9Z138,,,,,,,,"Tyrosine-protein kinase transmembrane receptor ROR2 (mROR2) (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)",Ror2,944,Mus musculus (Mouse),555-556(Tyrosine residue),22992069,"Annotation was made based on sequence similarity with ROR2(Q01974, Homo sapiens). Ror2 (receptor tyrosine kinase-like orphan receptor 2, an unconventional Wnt receptor) may be involved in the early formation of the chondrocytes and may be required for cartilage and growth plate development. The side chain of Tyr555, two positions from the gatekeeper residue at the end of strand ?5, occupies unusual position for inactive kinases, and occludes the predicted binding site for the ATP adenine ring. This ability of tyrosine residue to occlude the ATP-binding site may be a feature unique to Ror2.",Annotated by sequence similarity,,,0
,,,Q63531,,,,,,,,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),Rps6ka1 Mapkapk1a Rsk1,735,Rattus norvegicus (Rat),691-706(?L helix),22683790,"Annotation was made based on sequence similarity with RPS6KA1(Q15418, Homo sapiens). RSK1 plays an important role in many cellular processes. RSK1 is expressed ubiquitously in almost all human tissues, predominantly in kidney, lung and pancreas.The crystal structure of human RSK1 C-terminal kinase domain (CTKD) is reported at 2.7 ? resolution. The structure indicates that the autoinhibition of the CTKD is caused by an ?-helix occupying the substrate-binding groove.The structure shows autoinhibition of RSK1 CTKD by its ?L helix, suggesting that ERK1/2 may activate RSK1 by phosphorylating RSK1 followed by the displacement of ?L from its inhibitory position. A similar regulatory mechanism has been observed previously in MAP KAP kinase 2  and murine RSK2 CTKD.  The atomic structure of human RSK1 CTKD is of great interest in order to understand the mechanism of RSK activation and for structure-based anticancer-drug development.",Annotated by sequence similarity,,,0
,,,P18653,,,,,,,,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),Rps6ka1 Mapkapk1a Rsk1,724,Mus musculus (Mouse),680-695(?L helix),22683790,"Annotation was made based on sequence similarity with RPS6KA1(Q15418, Homo sapiens). RSK1 plays an important role in many cellular processes. RSK1 is expressed ubiquitously in almost all human tissues, predominantly in kidney, lung and pancreas.The crystal structure of human RSK1 C-terminal kinase domain (CTKD) is reported at 2.7 ? resolution. The structure indicates that the autoinhibition of the CTKD is caused by an ?-helix occupying the substrate-binding groove.The structure shows autoinhibition of RSK1 CTKD by its ?L helix, suggesting that ERK1/2 may activate RSK1 by phosphorylating RSK1 followed by the displacement of ?L from its inhibitory position. A similar regulatory mechanism has been observed previously in MAP KAP kinase 2  and murine RSK2 CTKD.  The atomic structure of human RSK1 CTKD is of great interest in order to understand the mechanism of RSK activation and for structure-based anticancer-drug development.",Annotated by sequence similarity,,,0
,,,Q5R4K3,,,,,,,,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1),RPS6KA5,802,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),709-727(Putative autoinhibitory alpha helix),"12628924, 10428774","Annotation was made based on sequence similarity with RPS6KA5(O75582, Homo sapiens). Plays an essential role in the control of RELA transcriptional activity in response to TNF and upon glucocorticoid, associates in the cytoplasm with the glucocorticoid receptor NR3C1 and contributes to RELA inhibition and repression of inflammatory gene expression.In skeletal myoblasts is required for phosphorylation of RELA at 'Ser-276' during oxidative stress. In erythropoietin-stimulated cells, is necessary for the 'Ser-727' phosphorylation of STAT3 and regulation of its transcriptional potential",Annotated by sequence similarity,,,0
,,,P67999,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),Rps6kb1,525,Rattus norvegicus (Rat),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,0
,,,Q6TJY3,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1),RPS6KB1,527,Bos taurus (Bovine),424-527(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,0
,,,P67998,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),RPS6KB1,525,Oryctolagus cuniculus (Rabbit),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,0
,,,Q8BSK8,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (S6K) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),Rps6kb1,525,Mus musculus (Mouse),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,0
,,,B4QK53,,,,,,,,Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GD12112,769,Drosophila simulans (Fruit fly),318-380(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,,0
,,,B3NE99,,,,,,,,Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GG13228,766,Drosophila erecta (Fruit fly),318-378(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,,0
,,,B4IAQ8,,,,,,,,Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GM22133,769,Drosophila sechellia (Fruit fly),318-380(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,,0
,,,Q12SA3,,,,,,,,Diguanylate cyclase/phosphodiesterase / histidine kinase (EC 2.7.3.-),Sden_0378,640,Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013),172-394(HAMP-GGDEF),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648) with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by releasing the S helix and the GGDEF domain, facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,0
,,,O08595,,,,,,,,Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B),Sec22b Ers-24,215,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),1-130(N-terminal longin domain),"11309394, 20159557","Annotation was made based on sequence similarity with Sec22b(O08547, Mus musculus). Sec22b is a SNARE involved in endoplasmic reticulum/Golgi membrane traffickingis. The N-terminal region of Sec22b regulates the function of SNARE. In rat SNARE Ykt6 (Q5EGY4), the SNARE core is autoinhibited by N-terminal longin domain.",Annotated by sequence similarity,,,0
,,,Q5RAI9,,,,,,,,Vesicle-trafficking protein SEC22b (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1),SEC22B SEC22L1,215,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),1-130(N-terminal longin domain),"11309394, 20159557","Annotation was made based on sequence similarity with Sec22b(O08547, Mus musculus). Sec22b is a SNARE involved in endoplasmic reticulum/Golgi membrane traffickingis. The N-terminal region of Sec22b regulates the function of SNARE. In rat SNARE Ykt6 (Q5EGY4), the SNARE core is autoinhibited by N-terminal longin domain.",Annotated by sequence similarity,,,0
,,,Q4KM74,,,,,,,,Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1),Sec22b Sec22l1,215,Rattus norvegicus (Rat),1-130(N-terminal longin domain),"11309394, 20159557","Annotation was made based on sequence similarity with Sec22b(O08547, Mus musculus). Sec22b is a SNARE involved in endoplasmic reticulum/Golgi membrane traffickingis. The N-terminal region of Sec22b regulates the function of SNARE. In rat SNARE Ykt6 (Q5EGY4), the SNARE core is autoinhibited by N-terminal longin domain.",Annotated by sequence similarity,,,0
,,,P78621,,,,,,,,Cytokinesis protein sepA (Forced expression inhibition of growth A) (Protein FH1/2),sepA figA AN6523,1790,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),1581-1613(DAD domain),,Annotation identified by sequence similarity was extracted from UniProt. The DAD domain regulates activation via by an autoinhibitory interaction with the GBD/FH3 domain. This autoinhibition is released upon competitive binding of an activated GTPase. The release of DAD allows the FH2 domain to then nucleate and elongate nonbranched actin filaments.,Annotated by sequence similarity,,,0
,,,Q925Q9,,,,,,,,"SH3 domain-containing kinase-binding protein 1 (Regulator of ubiquitous kinase) (Ruk) (SH3-containing, expressed in tumorigenic astrocytes)",Sh3kbp1 Ruk Seta,709,Rattus norvegicus (Rat),381-390(proline rich motif P1),21446695,"The human CIN85 (Cbl-interacting protein of 85 kDa) is a multifunction adapter or scaffolding protein consisting of three SH3 domains in the N-terminal half of the protein connected by unstructured linkers followed by a proline rich region, a serine rich region, and a coiled coil domain at the C-terminus and plays important roles in both receptor tyrosine kinase downregulation and phosphatidylinositol 3 kinase inhibition. Prevention of the intramolecular interaction of domain C with the proline-rich motif P1 results in the complex formation of CIN85 with specific targets such as Cbl or p85 proteins. The autoinhibitory region in rat Sh3kbp1 was annotated by sequence similarity of human CIN85.",Annotated by sequence similarity,,,0
